algorithm,precision,dims,iterations,s,nx,ny,nz,xs_tile_size,init_time,time,std_dev
sdd-lstct,S,3,100,1,64,64,64,100000,13945,14137.71999,2363.493778
sdd-lstct,S,3,100,1,64,64,64,100000,18867,13593.31999,36.76217621
sdd-lstct,S,3,100,1,64,64,64,100000,18109,13618.83999,250.3416353
sdd-lstct,S,3,100,1,64,64,64,100000,18137,13658.35999,280.3276482
sdd-lstct,S,3,100,1,64,64,64,100000,17903,13582.95999,39.98497717
sdd-lstct,S,3,100,1,50,50,50,100000,2771,8969.319999,2166.799191
sdd-lstct,S,3,100,1,50,50,50,100000,4453,8659.419999,92.61988771
sdd-lstct,S,3,100,1,50,50,50,100000,4298,8766.119999,339.8814875
sdd-lstct,S,3,100,1,50,50,50,100000,4321,8692.219999,94.04877245
sdd-lstct,S,3,100,1,50,50,50,100000,4292,8715.799999,233.9911964
sdd-lstct,S,3,100,1,288,288,288,100000,1985959,640647.8199,11058.48427
sdd-lstct,S,3,100,1,288,288,288,100000,1994190,741411.1999,58219.7817
sdd-lstct,S,3,100,1,288,288,288,100000,1995457,725192.6999,25364.83899
sdd-lstct,S,3,100,1,288,288,288,100000,2000969,672730.0199,16485.62525
sdd-lstct,S,3,100,1,288,288,288,100000,1986441,713028.4599,50051.97549
sdd-lstct,S,3,100,1,192,192,192,100000,457426,153879.3799,8210.934701
sdd-lstct,S,3,100,1,192,192,192,100000,596077,149732.6399,5617.143251
sdd-lstct,S,3,100,1,192,192,192,100000,594934,149240.7399,5417.639714
sdd-lstct,S,3,100,1,192,192,192,100000,594549,150932.5399,6824.507593
sdd-lstct,S,3,100,1,192,192,192,100000,595419,154991.7399,8977.817785
sdd-lstct,S,3,100,1,160,160,160,100000,239050,99717.77999,4945.081238
sdd-lstct,S,3,100,1,160,160,160,100000,322738,99431.21999,4315.072283
sdd-lstct,S,3,100,1,160,160,160,100000,322304,99362,4419.239839
sdd-lstct,S,3,100,1,160,160,160,100000,322010,99698.85999,4885.398006
sdd-lstct,S,3,100,1,160,160,160,100000,322335,96814.47999,4392.915998
sdd-lstct,S,3,100,1,350,350,350,100000,2695194,1555592.619,54312.62149
sdd-lstct,S,3,100,1,350,350,350,100000,2708600,1468990.439,58344.78231
sdd-lstct,S,3,100,1,350,350,350,100000,2703618,1509906.639,75536.71192
sdd-lstct,S,3,100,1,350,350,350,100000,2700152,1409903.719,13572.43924
sdd-lstct,S,3,100,1,350,350,350,100000,2704425,1430875.099,61907.33968
sdd-lstct,S,3,100,1,96,96,96,100000,49741,29689.35999,2807.700366
sdd-lstct,S,3,100,1,96,96,96,100000,66720,29550.45999,2446.283313
sdd-lstct,S,3,100,1,96,96,96,100000,65819,29523.89999,2498.039937
sdd-lstct,S,3,100,1,96,96,96,100000,66044,29626.19999,2452.925649
sdd-lstct,S,3,100,1,96,96,96,100000,65858,29538.89999,2440.315653
sdd-lstct,S,3,100,1,128,128,128,100000,122240,52959.63999,3846.095452
sdd-lstct,S,3,100,1,128,128,128,100000,171982,53532.19999,3599.060994
sdd-lstct,S,3,100,1,128,128,128,100000,171199,52642.41999,3578.004271
sdd-lstct,S,3,100,1,128,128,128,100000,170619,53228.71999,3543.316785
sdd-lstct,S,3,100,1,128,128,128,100000,171259,52627.93999,3529.600126
sdd-lstct,S,3,100,1,150,150,150,100000,173349,84873.87999,4574.572135
sdd-lstct,S,3,100,1,150,150,150,100000,226939,84575.01999,4143.403477
sdd-lstct,S,3,100,1,150,150,150,100000,226808,85311.01999,5065.478723
sdd-lstct,S,3,100,1,150,150,150,100000,226880,84595.11999,4227.501998
sdd-lstct,S,3,100,1,150,150,150,100000,227304,85366.59999,4496.215897
sdd-lstct,S,3,100,1,250,250,250,100000,967468,413503.1999,8082.026904
sdd-lstct,S,3,100,1,250,250,250,100000,977592,421510.3199,7493.279934
sdd-lstct,S,3,100,1,250,250,250,100000,975450,419274.4799,8327.959361
sdd-lstct,S,3,100,1,250,250,250,100000,974991,422985.3399,9150.689343
sdd-lstct,S,3,100,1,250,250,250,100000,975541,429380.3399,15022.42563
sdd-lstct,S,3,100,1,300,300,300,100000,1877469,738615.8199,10638.31164
sdd-lstct,S,3,100,1,300,300,300,100000,1881266,823453,59831.46899
sdd-lstct,S,3,100,1,300,300,300,100000,1850503,783986.6599,11976.40956
sdd-lstct,S,3,100,1,300,300,300,100000,1851162,757929.3399,11488.1773
sdd-lstct,S,3,100,1,300,300,300,100000,1851825,758057.8399,18312.25567
sdd-lstct,S,3,100,1,200,200,200,100000,566118,172444.6599,8654.646674
sdd-lstct,S,3,100,1,200,200,200,100000,701889,176917.0399,10139.42895
sdd-lstct,S,3,100,1,200,200,200,100000,703102,167476.0999,6536.544916
sdd-lstct,S,3,100,1,200,200,200,100000,702927,166707.3199,5546.527408
sdd-lstct,S,3,100,1,200,200,200,100000,700672,169275.9399,7570.551349
sdd-lstct,S,3,100,1,100,100,100,100000,31261,28581.39999,3446.169868
sdd-lstct,S,3,100,1,100,100,100,100000,45310,28082.23999,2569.105054
sdd-lstct,S,3,100,1,100,100,100,100000,45269,28191.31999,2622.560263
sdd-lstct,S,3,100,1,100,100,100,100000,45305,28191.03999,2588.697417
sdd-lstct,S,3,100,1,100,100,100,100000,45805,28220.57999,2597.16373
sdd-lstct,S,3,100,1,256,256,256,100000,2597352,479352.9399,17299.91516
sdd-lstct,S,3,100,1,256,256,256,100000,2604420,551343.1199,13315.92246
sdd-lstct,S,3,100,1,256,256,256,100000,2612168,482552.9399,13285.02249
sdd-lstct,S,3,100,1,256,256,256,100000,2581279,480028.0999,15525.56597
sdd-lstct,S,3,100,1,256,256,256,100000,2559069,477417.7599,8691.472336
sdd-lstct,S,3,100,1,400,400,400,100000,5030512,2481061,127565.6264
sdd-lstct,S,3,100,1,400,400,400,100000,5141256,2169493.239,163351.3519
sdd-lstct,S,3,100,1,400,400,400,100000,5138339,2373528.939,59017.31527
sdd-lstct,S,3,100,1,400,400,400,100000,5154786,2332165.039,53789.69575
sdd-lstct,S,3,100,1,400,400,400,100000,5153163,2175464.619,24128.00428
sdd-lstct,S,3,100,1,224,224,224,100000,846423,255895.2199,10441.40746
sdd-lstct,S,3,100,1,224,224,224,100000,853911,297773.1799,14566.7227
sdd-lstct,S,3,100,1,224,224,224,100000,856928,252219.5399,6349.974243
sdd-lstct,S,3,100,1,224,224,224,100000,854545,256585.2399,14030.3357
sdd-lstct,S,3,100,1,224,224,224,100000,861399,256703.2799,13254.87864
sdd-lstct,D,3,100,1,64,64,64,100000,18271,18558.21999,3907.79499
sdd-lstct,D,3,100,1,64,64,64,100000,29598,17876.05999,3292.60652
sdd-lstct,D,3,100,1,64,64,64,100000,28946,17855.69999,3277.420182
sdd-lstct,D,3,100,1,64,64,64,100000,28852,17875.69999,3524.165014
sdd-lstct,D,3,100,1,64,64,64,100000,28983,17876.37999,3313.502605
sdd-lstct,D,3,100,1,50,50,50,100000,4364,12092.07999,2740.970586
sdd-lstct,D,3,100,1,50,50,50,100000,7302,11940.87999,2509.315593
sdd-lstct,D,3,100,1,50,50,50,100000,7096,11868.47999,2471.718157
