algorithm,precision,dims,iterations,s,nx,ny,nz,continuous_x_diagonal,x_tile_size,init_time,time,std_dev
sdd-pb,S,3,100,1,64,64,64,false,48,9733,14486.13999,7747.542709
sdd-pb,S,3,100,1,64,64,64,false,48,10461,16638.77999,2359.700975
sdd-pb,S,3,100,1,64,64,64,false,48,10616,23166.33999,1079.052781
sdd-pb,S,3,100,1,64,64,64,false,48,11260,24052.87999,185.3219512
sdd-pb,S,3,100,1,64,64,64,false,48,11412,24889.5,843.5604127
sdd-pb,S,3,100,1,50,50,50,false,48,3429,5177.679999,1500.220323
sdd-pb,S,3,100,1,50,50,50,false,48,3990,5475.259999,70.32547475
sdd-pb,S,3,100,1,50,50,50,false,48,4450,5483.099999,47.2293341
sdd-pb,S,3,100,1,50,50,50,false,48,4441,5478.599999,45.40176208
sdd-pb,S,3,100,1,50,50,50,false,48,4487,5429.379999,40.92133428
sdd-pb,S,3,100,1,288,288,288,false,48,1800726,1997839.639,996927.7909
sdd-pb,S,3,100,1,288,288,288,false,48,1808040,1817689.679,593935.1508
sdd-pb,S,3,100,1,288,288,288,false,48,1822134,1442023.259,846798.386
sdd-pb,S,3,100,1,288,288,288,false,48,1838601,2451566.379,707007.814
sdd-pb,S,3,100,1,288,288,288,false,48,1781140,2592498.719,246726.5166
sdd-pb,S,3,100,1,192,192,192,false,48,295107,549347.6999,11715.84021
sdd-pb,S,3,100,1,192,192,192,false,48,304389,612118.6799,4481.376955
sdd-pb,S,3,100,1,192,192,192,false,48,393835,550931.3199,2587.633331
sdd-pb,S,3,100,1,192,192,192,false,48,300034,626531.4799,214302.1853
sdd-pb,S,3,100,1,192,192,192,false,48,477207,1002289.259,22352.39416
sdd-pb,S,3,100,1,160,160,160,false,48,162563,451583.5,40715.99927
sdd-pb,S,3,100,1,160,160,160,false,48,166768,416654.5199,7136.766063
sdd-pb,S,3,100,1,160,160,160,false,48,166965,420171.4399,7331.970955
sdd-pb,S,3,100,1,160,160,160,false,48,164780,350687.2799,4161.322905
sdd-pb,S,3,100,1,160,160,160,false,48,165141,347039.1199,2606.449559
sdd-pb,S,3,100,1,350,350,350,false,48,2965971,2435699.159,866640.966
sdd-pb,S,3,100,1,350,350,350,false,48,2791635,2782254.559,468009.7242
sdd-pb,S,3,100,1,350,350,350,false,48,2781755,3647146.5,1766633.187
sdd-pb,S,3,100,1,350,350,350,false,48,2801953,5079843,179631.3552
sdd-pb,S,3,100,1,350,350,350,false,48,2802119,3174552.159,740233.0523
sdd-pb,S,3,100,1,96,96,96,false,48,33057,35261.87999,61218.24042
sdd-pb,S,3,100,1,96,96,96,false,48,35562,210678.6599,11339.93362
sdd-pb,S,3,100,1,96,96,96,false,48,36107,180298.4199,9724.131434
sdd-pb,S,3,100,1,96,96,96,false,48,36394,191969.1799,7173.970626
sdd-pb,S,3,100,1,96,96,96,false,48,37445,175329.7999,3735.52763
sdd-pb,S,3,100,1,128,128,128,false,48,93070,149605.7999,48735.57344
sdd-pb,S,3,100,1,128,128,128,false,48,95523,380554.7199,44129.56149
sdd-pb,S,3,100,1,128,128,128,false,48,93280,374901.2599,28004.80233
sdd-pb,S,3,100,1,128,128,128,false,48,97276,355953.0199,18284.45858
sdd-pb,S,3,100,1,128,128,128,false,48,100643,377594.7999,38026.44177
sdd-pb,S,3,100,1,150,150,150,false,48,125671,290266.3599,41754.28942
sdd-pb,S,3,100,1,150,150,150,false,48,126388,414324.2599,28737.00062
sdd-pb,S,3,100,1,150,150,150,false,48,129161,391093.2799,3787.087403
sdd-pb,S,3,100,1,150,150,150,false,48,132575,386196.3199,6264.548578
sdd-pb,S,3,100,1,150,150,150,false,48,128129,396422.1399,6768.49874
sdd-pb,S,3,100,1,250,250,250,false,48,1235998,1888191.579,444029.1923
sdd-pb,S,3,100,1,250,250,250,false,48,1223462,1068820.5,487693.104
sdd-pb,S,3,100,1,250,250,250,false,48,1219038,1303096,559514.6924
sdd-pb,S,3,100,1,250,250,250,false,48,1220297,1939481.319,35221.51515
sdd-pb,S,3,100,1,250,250,250,false,48,1222523,998237.8199,365034.8343
sdd-pb,S,3,100,1,300,300,300,false,48,1380566,1614984.579,1204081.545
sdd-pb,S,3,100,1,300,300,300,false,48,1382521,1146686.439,538684.8262
sdd-pb,S,3,100,1,300,300,300,false,48,1382573,1922315.299,245057.7754
sdd-pb,S,3,100,1,300,300,300,false,48,1402675,2056471.5,885604.1218
sdd-pb,S,3,100,1,300,300,300,false,48,1378894,3146173.679,159257.4863
sdd-pb,S,3,100,1,200,200,200,false,48,300129,523220.9599,21465.12202
sdd-pb,S,3,100,1,200,200,200,false,48,317609,684377.6799,8426.900923
sdd-pb,S,3,100,1,200,200,200,false,48,428539,660981.6599,28673.54256
sdd-pb,S,3,100,1,200,200,200,false,48,308726,616035.7799,24045.26997
sdd-pb,S,3,100,1,200,200,200,false,48,505128,883293,19470.67212
sdd-pb,S,3,100,1,100,100,100,false,48,26169,31892.13999,58996.35554
sdd-pb,S,3,100,1,100,100,100,false,48,28217,220769.6799,10881.19991
sdd-pb,S,3,100,1,100,100,100,false,48,27272,202973.2799,6623.809148
sdd-pb,S,3,100,1,100,100,100,false,48,28986,187286.7999,4207.817776
sdd-pb,S,3,100,1,100,100,100,false,48,28209,225898.6999,10323.69149
sdd-pb,S,3,100,1,256,256,256,false,48,2684091,1630317.579,581772.7109
sdd-pb,S,3,100,1,256,256,256,false,48,2709898,1200395.839,611642.9626
sdd-pb,S,3,100,1,256,256,256,false,48,2692392,1279802.959,603772.5978
sdd-pb,S,3,100,1,256,256,256,false,48,2694247,2372366.879,73698.02458
sdd-pb,S,3,100,1,256,256,256,false,48,2697342,1170788.139,259988.1048
sdd-pb,S,3,100,1,400,400,400,false,48,3572369,3043443.299,1581292.482
sdd-pb,S,3,100,1,400,400,400,false,48,3525086,4151467.259,2339801.504
sdd-pb,S,3,100,1,400,400,400,false,48,3560396,5257528.459,888126.8923
sdd-pb,S,3,100,1,400,400,400,false,48,3580493,6275319.819,1995419.831
sdd-pb,S,3,100,1,400,400,400,false,48,3555396,7202108.139,308105.761
sdd-pb,S,3,100,1,224,224,224,false,48,690128,1481539.399,38975.55803
sdd-pb,S,3,100,1,224,224,224,false,48,683639,582733.5199,217709.5215
sdd-pb,S,3,100,1,224,224,224,false,48,677327,1172029.879,425618.1084
sdd-pb,S,3,100,1,224,224,224,false,48,677305,1451827.159,27488.64709
sdd-pb,S,3,100,1,224,224,224,false,48,686792,1147229.279,435015.2075
sdd-pb,S,3,100,1,64,64,64,false,32,9776,14349.41999,12391.78845
sdd-pb,S,3,100,1,64,64,64,false,32,10557,24059.43999,278.2237344
sdd-pb,S,3,100,1,64,64,64,false,32,11429,21612.81999,156.4999284
sdd-pb,S,3,100,1,64,64,64,false,32,11091,23593.91999,165.6970536
sdd-pb,S,3,100,1,64,64,64,false,32,11286,23844.05999,208.8332741
sdd-pb,S,3,100,1,50,50,50,false,32,3552,5677.719999,2205.112877
sdd-pb,S,3,100,1,50,50,50,false,32,4149,5865.879999,166.8881829
sdd-pb,S,3,100,1,50,50,50,false,32,4631,6196.359999,206.0598709
sdd-pb,S,3,100,1,50,50,50,false,32,4590,5835.839999,46.77878151
sdd-pb,S,3,100,1,50,50,50,false,32,4589,5782.439999,57.49022873
sdd-pb,S,3,100,1,288,288,288,false,32,1810145,1773571.899,1059451.04
sdd-pb,S,3,100,1,288,288,288,false,32,1825192,1070644.479,417611.5597
sdd-pb,S,3,100,1,288,288,288,false,32,1818364,1893995.5,644782.6339
sdd-pb,S,3,100,1,288,288,288,false,32,1800663,2541805.699,384713.9667
sdd-pb,S,3,100,1,288,288,288,false,32,1804279,2668627.519,522704.4781
sdd-pb,S,3,100,1,192,192,192,false,32,296194,398515.5,14510.1316
sdd-pb,S,3,100,1,192,192,192,false,32,301304,679897.8599,10502.62726
sdd-pb,S,3,100,1,192,192,192,false,32,324449,661164.9599,8447.739136
sdd-pb,S,3,100,1,192,192,192,false,32,306849,805144.5399,10243.55393
sdd-pb,S,3,100,1,192,192,192,false,32,331408,592179.1199,10562.81582
sdd-pb,S,3,100,1,160,160,160,false,32,167601,393969.8999,32385.10258
sdd-pb,S,3,100,1,160,160,160,false,32,171430,482479.7799,8825.673695
sdd-pb,S,3,100,1,160,160,160,false,32,172011,477256.5199,6575.061198
sdd-pb,S,3,100,1,160,160,160,false,32,172475,474264.3599,5132.653581
sdd-pb,S,3,100,1,160,160,160,false,32,168949,426523.1999,10193.2968
sdd-pb,S,3,100,1,350,350,350,false,32,2805312,2408935.179,1148829.799
sdd-pb,S,3,100,1,350,350,350,false,32,2801573,1964961.959,515428.2019
sdd-pb,S,3,100,1,350,350,350,false,32,2821382,3977872.939,517569.7565
sdd-pb,S,3,100,1,350,350,350,false,32,2794817,4938726.899,302544.4638
sdd-pb,S,3,100,1,350,350,350,false,32,2808662,4665802.859,452631.318
sdd-pb,S,3,100,1,96,96,96,false,32,32086,32353.61999,55510.21647
sdd-pb,S,3,100,1,96,96,96,false,32,35187,170336.7199,4337.364854
sdd-pb,S,3,100,1,96,96,96,false,32,36212,162234.3399,4069.166123
sdd-pb,S,3,100,1,96,96,96,false,32,36151,183124.2799,17255.89197
sdd-pb,S,3,100,1,96,96,96,false,32,36649,166987.6199,5259.399934
sdd-pb,S,3,100,1,128,128,128,false,32,91702,214711.7199,43764.80912
sdd-pb,S,3,100,1,128,128,128,false,32,98528,387046.2399,32314.36493
sdd-pb,S,3,100,1,128,128,128,false,32,99230,344978.6199,19281.50274
sdd-pb,S,3,100,1,128,128,128,false,32,99936,354873.8599,30670.40893
sdd-pb,S,3,100,1,128,128,128,false,32,99876,364405.2199,31672.07645
sdd-pb,S,3,100,1,150,150,150,false,32,125093,162775,60512.04825
sdd-pb,S,3,100,1,150,150,150,false,32,127616,412193.4799,16268.15574
sdd-pb,S,3,100,1,150,150,150,false,32,129223,397413.5,26302.56552
sdd-pb,S,3,100,1,150,150,150,false,32,128992,392369.6399,19374.85987
sdd-pb,S,3,100,1,150,150,150,false,32,129014,369025.6799,16613.64455
sdd-pb,S,3,100,1,250,250,250,false,32,1215677,1742551.139,496411.8528
sdd-pb,S,3,100,1,250,250,250,false,32,1223250,1490926.759,443835.4109
sdd-pb,S,3,100,1,250,250,250,false,32,1220358,991069.0999,264406.0211
sdd-pb,S,3,100,1,250,250,250,false,32,1223272,1664192.939,653152.1027
sdd-pb,S,3,100,1,250,250,250,false,32,1234235,2071012.519,36167.77626
sdd-pb,S,3,100,1,300,300,300,false,32,1376558,1674349.199,1198711.852
sdd-pb,S,3,100,1,300,300,300,false,32,1387598,1407220.039,501069.0793
sdd-pb,S,3,100,1,300,300,300,false,32,1390986,1798391.879,970690.101
sdd-pb,S,3,100,1,300,300,300,false,32,1384708,2414625.979,859535.256
sdd-pb,S,3,100,1,300,300,300,false,32,1379752,3140147.659,120197.9871
sdd-pb,S,3,100,1,200,200,200,false,32,300256,606108.7399,13536.94584
sdd-pb,S,3,100,1,200,200,200,false,32,306123,709715.6999,13182.03198
sdd-pb,S,3,100,1,200,200,200,false,32,351947,732451.0999,15877.20968
sdd-pb,S,3,100,1,200,200,200,false,32,304436,1134444.479,26663.48062
sdd-pb,S,3,100,1,200,200,200,false,32,304679,905749.0799,23147.96575
sdd-pb,S,3,100,1,100,100,100,false,32,27100,36073.77999,56777.87037
sdd-pb,S,3,100,1,100,100,100,false,32,29652,190361.0999,6435.168004
sdd-pb,S,3,100,1,100,100,100,false,32,28726,209983.8799,4776.220232
sdd-pb,S,3,100,1,100,100,100,false,32,30424,212724.5,14972.44198
sdd-pb,S,3,100,1,100,100,100,false,32,30906,204441.0399,6652.015417
sdd-pb,S,3,100,1,256,256,256,false,32,2698949,1666821.619,589064.8612
sdd-pb,S,3,100,1,256,256,256,false,32,2697809,1124251.599,605871.592
sdd-pb,S,3,100,1,256,256,256,false,32,2689787,1112244.979,546138.2323
sdd-pb,S,3,100,1,256,256,256,false,32,2711076,1309110.239,618907.3442
sdd-pb,S,3,100,1,256,256,256,false,32,2681586,2005202.959,21507.15964
sdd-pb,S,3,100,1,400,400,400,false,32,3619514,2244666.619,1563159.199
sdd-pb,S,3,100,1,400,400,400,false,32,3571606,4422557.559,1640953.25
sdd-pb,S,3,100,1,400,400,400,false,32,3563155,7076131.379,779223.3787
