algorithm,precision,dims,iterations,s,nx,ny,nz,continuous_x_diagonal,x_tile_size,init_time,time,std_dev
sdd-lstmtai,S,3,100,1,64,64,64,false,48,9035,14747.87999,9989.908397
sdd-lstmtai,S,3,100,1,64,64,64,false,48,9927,23488.21999,142.8316897
sdd-lstmtai,S,3,100,1,64,64,64,false,48,9268,15246.43999,232.7152904
sdd-lstmtai,S,3,100,1,64,64,64,false,48,10553,17345.35999,161.6391982
sdd-lstmtai,S,3,100,1,64,64,64,false,48,10689,18301.67999,115.6408993
sdd-lstmtai,S,3,100,1,50,50,50,false,48,3428,7315.099999,1878.93767
sdd-lstmtai,S,3,100,1,50,50,50,false,48,3959,9471.599999,194.8885835
sdd-lstmtai,S,3,100,1,50,50,50,false,48,4472,8960.919999,115.3254247
sdd-lstmtai,S,3,100,1,50,50,50,false,48,4549,8734.719999,167.1027276
sdd-lstmtai,S,3,100,1,50,50,50,false,48,4572,9060.519999,108.8680375
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1681869,1923073.879,1127888.284
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1682975,1111035.739,748232.8445
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1679802,2634169.779,822036.2551
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1713740,3364419.819,45740.21909
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1701063,1991383.679,879161.3506
sdd-lstmtai,S,3,100,1,192,192,192,false,48,298341,878085.3599,91871.38789
sdd-lstmtai,S,3,100,1,192,192,192,false,48,300547,1020866.519,58820.6255
sdd-lstmtai,S,3,100,1,192,192,192,false,48,590170,853988.9599,227346.84
sdd-lstmtai,S,3,100,1,192,192,192,false,48,296734,1403724.219,26680.17616
sdd-lstmtai,S,3,100,1,192,192,192,false,48,313556,676067.6599,237712.847
sdd-lstmtai,S,3,100,1,160,160,160,false,48,163004,659714.9199,54858.68245
sdd-lstmtai,S,3,100,1,160,160,160,false,48,168922,609663.6199,10679.8652
sdd-lstmtai,S,3,100,1,160,160,160,false,48,169521,647436.6599,16391.21393
sdd-lstmtai,S,3,100,1,160,160,160,false,48,169056,573677.8999,148682.2206
sdd-lstmtai,S,3,100,1,160,160,160,false,48,168678,623142.4799,9956.61146
sdd-lstmtai,S,3,100,1,350,350,350,false,48,2798006,1892226.139,1235935.21
sdd-lstmtai,S,3,100,1,350,350,350,false,48,2848355,2511217.479,1233435.083
