algorithm,precision,dims,iterations,s,nx,ny,nz,continuous_x_diagonal,x_tile_size,init_time,time,std_dev
sdd-pb,S,3,100,1,64,64,64,false,48,8874,8987.059999,167.1428622
sdd-pb,S,3,100,1,64,64,64,false,48,10658,8510.639999,1619.228665
sdd-pb,S,3,100,1,64,64,64,false,48,10311,8232.939999,52.83650631
sdd-pb,S,3,100,1,64,64,64,false,48,10513,8218.439999,58.57103721
sdd-pb,S,3,100,1,64,64,64,false,48,10182,8163.919999,53.32573112
sdd-pb,S,3,100,1,50,50,50,false,48,3082,4753.139999,1382.182766
sdd-pb,S,3,100,1,50,50,50,false,48,3522,4552.139999,61.82168228
sdd-pb,S,3,100,1,50,50,50,false,48,3913,4550.419999,70.51328669
sdd-pb,S,3,100,1,50,50,50,false,48,3884,4565.359999,71.75395738
sdd-pb,S,3,100,1,50,50,50,false,48,3885,4546.819999,75.31074026
sdd-pb,S,3,100,1,288,288,288,false,48,1974827,581919.8199,2924.456043
sdd-pb,S,3,100,1,288,288,288,false,48,1983978,466787.2799,56728.42318
sdd-pb,S,3,100,1,288,288,288,false,48,1983963,582399.5199,3012.703657
sdd-pb,S,3,100,1,288,288,288,false,48,1979207,579622.3399,1019.482429
sdd-pb,S,3,100,1,288,288,288,false,48,1983081,582186.5599,2661.529396
sdd-pb,S,3,100,1,192,192,192,false,48,373538,48193.25999,1876.773996
sdd-pb,S,3,100,1,192,192,192,false,48,391547,47783.67999,1196.909861
sdd-pb,S,3,100,1,192,192,192,false,48,400449,48001.35999,1336.178113
sdd-pb,S,3,100,1,192,192,192,false,48,390801,50671.05999,1212.915304
sdd-pb,S,3,100,1,192,192,192,false,48,394964,48564.41999,1241.397262
sdd-pb,S,3,100,1,160,160,160,false,48,207044,34651.29999,2128.652345
sdd-pb,S,3,100,1,160,160,160,false,48,220789,33675.67999,444.2013705
sdd-pb,S,3,100,1,160,160,160,false,48,227592,33668.53999,494.5249522
sdd-pb,S,3,100,1,160,160,160,false,48,227035,33809.55999,563.0909397
sdd-pb,S,3,100,1,160,160,160,false,48,222385,33386.11999,505.6837604
sdd-pb,S,3,100,1,350,350,350,false,48,4075519,997219.3399,185564.6012
sdd-pb,S,3,100,1,350,350,350,false,48,3931073,901733.8999,163169.2246
sdd-pb,S,3,100,1,350,350,350,false,48,3921639,901002.6399,175764.0358
sdd-pb,S,3,100,1,350,350,350,false,48,3922651,905113.1599,118685.4277
sdd-pb,S,3,100,1,350,350,350,false,48,3928780,1014689.799,71867.94975
sdd-pb,S,3,100,1,96,96,96,false,48,38524,16724.83999,115.4154859
sdd-pb,S,3,100,1,96,96,96,false,48,47407,15369.13999,1231.097055
sdd-pb,S,3,100,1,96,96,96,false,48,45560,15055.19999,80.10792719
sdd-pb,S,3,100,1,96,96,96,false,48,44736,14921.57999,85.68829324
sdd-pb,S,3,100,1,96,96,96,false,48,43747,15053.37999,82.81011773
sdd-pb,S,3,100,1,128,128,128,false,48,106242,18077.81999,1939.309605
sdd-pb,S,3,100,1,128,128,128,false,48,118224,16645.25999,141.3177709
sdd-pb,S,3,100,1,128,128,128,false,48,118012,17056.83999,411.7251199
sdd-pb,S,3,100,1,128,128,128,false,48,117433,16988.55999,395.5921212
sdd-pb,S,3,100,1,128,128,128,false,48,118250,16805.31999,400.9514903
sdd-pb,S,3,100,1,150,150,150,false,48,210265,27905.41999,1345.101083
sdd-pb,S,3,100,1,150,150,150,false,48,227944,26712.41999,373.875813
sdd-pb,S,3,100,1,150,150,150,false,48,226236,26799.75999,392.0371696
sdd-pb,S,3,100,1,150,150,150,false,48,229929,26751.95999,200.4868035
sdd-pb,S,3,100,1,150,150,150,false,48,222708,30547.15999,2299.626564
sdd-pb,S,3,100,1,250,250,250,false,48,2466022,320969.5799,1298.950624
sdd-pb,S,3,100,1,250,250,250,false,48,2442581,321543.9599,1428.046973
sdd-pb,S,3,100,1,250,250,250,false,48,2442807,320376.9199,1266.728081
sdd-pb,S,3,100,1,250,250,250,false,48,2440579,263782.6199,36118.54919
sdd-pb,S,3,100,1,250,250,250,false,48,2416849,321215.6999,1251.228328
sdd-pb,S,3,100,1,300,300,300,false,48,2268860,639024.9799,26892.39575
sdd-pb,S,3,100,1,300,300,300,false,48,2273378,631258.0999,4698.897961
sdd-pb,S,3,100,1,300,300,300,false,48,2284727,588335.3599,11238.53447
sdd-pb,S,3,100,1,300,300,300,false,48,2274969,633017.7999,2735.011868
sdd-pb,S,3,100,1,300,300,300,false,48,2275460,485112.7199,98819.26864
sdd-pb,S,3,100,1,200,200,200,false,48,496912,73036.27999,7360.658288
sdd-pb,S,3,100,1,200,200,200,false,48,519355,64499.5,2804.345879
sdd-pb,S,3,100,1,200,200,200,false,48,532445,63834.17999,1174.929252
sdd-pb,S,3,100,1,200,200,200,false,48,522833,63013.87999,1214.962413
sdd-pb,S,3,100,1,200,200,200,false,48,522875,67260.87999,5389.889975
sdd-pb,S,3,100,1,100,100,100,false,48,29568,12088.19999,168.7237979
sdd-pb,S,3,100,1,100,100,100,false,48,37932,11465.21999,1191.825075
sdd-pb,S,3,100,1,100,100,100,false,48,37218,10839.77999,82.01836135
sdd-pb,S,3,100,1,100,100,100,false,48,35633,10846.93999,111.387326
sdd-pb,S,3,100,1,100,100,100,false,48,35029,10861.79999,82.30212633
sdd-pb,S,3,100,1,256,256,256,false,48,2598275,357736.4599,1254.945516
sdd-pb,S,3,100,1,256,256,256,false,48,2608741,358780.3799,1076.291668
sdd-pb,S,3,100,1,256,256,256,false,48,2613903,344429.5199,33321.68988
sdd-pb,S,3,100,1,256,256,256,false,48,2605122,354276.6799,1146.018175
sdd-pb,S,3,100,1,256,256,256,false,48,2656032,356379.0399,2393.526109
sdd-pb,S,3,100,1,400,400,400,false,48,4909744,1570951.959,385254.1127
sdd-pb,S,3,100,1,400,400,400,false,48,4753652,1284331.459,198928.0361
sdd-pb,S,3,100,1,400,400,400,false,48,5094770,1201684.299,219585.8621
sdd-pb,S,3,100,1,400,400,400,false,48,5089635,1583157.059,98554.0581
sdd-pb,S,3,100,1,400,400,400,false,48,4954512,1905615.819,19375.7238
sdd-pb,S,3,100,1,224,224,224,false,48,838977,147309.6799,20176.04875
sdd-pb,S,3,100,1,224,224,224,false,48,849708,133716.6199,1218.848815
sdd-pb,S,3,100,1,224,224,224,false,48,849120,132840.7599,1100.962988
sdd-pb,S,3,100,1,224,224,224,false,48,848862,142554,16484.76302
sdd-pb,S,3,100,1,224,224,224,false,48,848812,132941.2799,1311.425133
sdd-pb,S,3,100,1,64,64,64,false,32,8816,10132.51999,52.72845152
sdd-pb,S,3,100,1,64,64,64,false,32,10538,8700.519999,964.0967221
sdd-pb,S,3,100,1,64,64,64,false,32,10265,8548.119999,59.70214066
sdd-pb,S,3,100,1,64,64,64,false,32,10408,8521.019999,54.36928912
sdd-pb,S,3,100,1,64,64,64,false,32,10293,8507.059999,54.53160918
sdd-pb,S,3,100,1,50,50,50,false,32,3219,5062.879999,1450.021774
sdd-pb,S,3,100,1,50,50,50,false,32,3806,4857.559999,95.87411746
sdd-pb,S,3,100,1,50,50,50,false,32,4101,4845.879999,86.65047951
sdd-pb,S,3,100,1,50,50,50,false,32,3929,4979.859999,79.18257636
sdd-pb,S,3,100,1,50,50,50,false,32,3872,4906.359999,97.17196303
sdd-pb,S,3,100,1,288,288,288,false,32,1977694,551835.4399,3021.808366
sdd-pb,S,3,100,1,288,288,288,false,32,1983693,490722.2599,43233.67594
sdd-pb,S,3,100,1,288,288,288,false,32,1978989,551249.9599,3392.834272
sdd-pb,S,3,100,1,288,288,288,false,32,1980875,549591.5399,957.0201922
sdd-pb,S,3,100,1,288,288,288,false,32,1981324,535846.8199,37295.25544
sdd-pb,S,3,100,1,192,192,192,false,32,374074,53752.97999,4646.09799
