algorithm,precision,dims,iterations,s,nx,ny,nz,xs_tile_size,init_time,time,std_dev
sdd-lstct,S,3,100,1,64,64,64,100000,11149,20865.19999,8137.132725
sdd-lstct,S,3,100,1,64,64,64,100000,45111,15631.89999,1209.789357
sdd-lstct,S,3,100,1,64,64,64,100000,44220,15495.59999,967.1470829
sdd-lstct,S,3,100,1,64,64,64,100000,44187,15259.15999,392.2996997
sdd-lstct,S,3,100,1,64,64,64,100000,44220,15193.61999,251.6142992
sdd-lstct,S,3,100,1,50,50,50,100000,2933,10496.45999,2508.637336
sdd-lstct,S,3,100,1,50,50,50,100000,4602,10225.59999,697.5468729
sdd-lstct,S,3,100,1,50,50,50,100000,4336,10130.39999,82.85674384
sdd-lstct,S,3,100,1,50,50,50,100000,4285,10182.45999,327.5170352
sdd-lstct,S,3,100,1,50,50,50,100000,4359,10133.57999,153.279234
sdd-lstct,S,3,100,1,288,288,288,100000,1723992,2104266.919,476415.8231
sdd-lstct,S,3,100,1,288,288,288,100000,1701159,1497004.419,507066.1616
sdd-lstct,S,3,100,1,288,288,288,100000,1684145,2388755.579,120772.3654
sdd-lstct,S,3,100,1,288,288,288,100000,1695430,2482733.259,279475.5154
sdd-lstct,S,3,100,1,288,288,288,100000,1696207,2202989.319,500826.059
sdd-lstct,S,3,100,1,192,192,192,100000,413431,781309.0999,55809.12559
sdd-lstct,S,3,100,1,192,192,192,100000,1368393,673961.7799,35789.33079
sdd-lstct,S,3,100,1,192,192,192,100000,1382990,611762.4799,24714.05535
sdd-lstct,S,3,100,1,192,192,192,100000,1419369,585222.5999,19963.16871
sdd-lstct,S,3,100,1,192,192,192,100000,1260727,595219.1999,7159.624478
sdd-lstct,S,3,100,1,160,160,160,100000,196354,1259215.019,54053.11914
sdd-lstct,S,3,100,1,160,160,160,100000,706640,986357.7799,106072.5482
sdd-lstct,S,3,100,1,160,160,160,100000,822838,596300.1599,14370.33109
sdd-lstct,S,3,100,1,160,160,160,100000,825214,542883.5199,20457.04165
sdd-lstct,S,3,100,1,160,160,160,100000,831579,533821.0599,6297.864096
sdd-lstct,S,3,100,1,350,350,350,100000,1860353,2725049.779,742669.3197
sdd-lstct,S,3,100,1,350,350,350,100000,1771656,3260980.199,377704.3315
sdd-lstct,S,3,100,1,350,350,350,100000,1777278,3329989.619,525251.6335
sdd-lstct,S,3,100,1,350,350,350,100000,1769240,3670928.979,259939.5023
sdd-lstct,S,3,100,1,350,350,350,100000,1792950,3862780.119,368215.7962
sdd-lstct,S,3,100,1,96,96,96,100000,41009,69581.33999,56154.63701
sdd-lstct,S,3,100,1,96,96,96,100000,153271,53270.89999,1784.161419
sdd-lstct,S,3,100,1,96,96,96,100000,152295,53777.69999,2308.512181
sdd-lstct,S,3,100,1,96,96,96,100000,152433,67885.77999,14544.08222
sdd-lstct,S,3,100,1,96,96,96,100000,115849,84864.11999,2078.635635
sdd-lstct,S,3,100,1,128,128,128,100000,117338,178215.7399,72337.508
sdd-lstct,S,3,100,1,128,128,128,100000,453970,167215.8199,3408.047714
sdd-lstct,S,3,100,1,128,128,128,100000,450558,175563.3999,6589.329143
sdd-lstct,S,3,100,1,128,128,128,100000,430199,196929,17006.58408
sdd-lstct,S,3,100,1,128,128,128,100000,418044,199573.4399,8250.940579
sdd-lstct,S,3,100,1,150,150,150,100000,123915,963595.4399,61665.46126
sdd-lstct,S,3,100,1,150,150,150,100000,393775,570034.3199,265574.8069
sdd-lstct,S,3,100,1,150,150,150,100000,451431,254316.0399,4656.433716
sdd-lstct,S,3,100,1,150,150,150,100000,487601,558408,58575.09139
sdd-lstct,S,3,100,1,150,150,150,100000,542536,558021.3599,12499.06637
sdd-lstct,S,3,100,1,250,250,250,100000,593567,1696263.339,317319.7143
sdd-lstct,S,3,100,1,250,250,250,100000,600598,1859412.659,206657.1904
sdd-lstct,S,3,100,1,250,250,250,100000,590863,1384032.199,202862.7727
sdd-lstct,S,3,100,1,250,250,250,100000,599469,2046161.939,185000.2775
sdd-lstct,S,3,100,1,250,250,250,100000,611750,2161750.459,140974.3568
sdd-lstct,S,3,100,1,300,300,300,100000,1249760,2088925.619,506885.7949
sdd-lstct,S,3,100,1,300,300,300,100000,1267784,2473485.379,493440.3716
sdd-lstct,S,3,100,1,300,300,300,100000,1272983,2604397.599,198031.2416
sdd-lstct,S,3,100,1,300,300,300,100000,1251565,2638431.539,146000.1404
sdd-lstct,S,3,100,1,300,300,300,100000,1267004,2388647.039,412927.5608
sdd-lstct,S,3,100,1,200,200,200,100000,366008,1070752.719,110503.992
sdd-lstct,S,3,100,1,200,200,200,100000,1412961,1096897.519,62682.0155
sdd-lstct,S,3,100,1,200,200,200,100000,1453296,1045797.299,58911.45383
sdd-lstct,S,3,100,1,200,200,200,100000,1505170,886831.3399,103741.2825
sdd-lstct,S,3,100,1,200,200,200,100000,1573566,804018.5,16232.59362
sdd-lstct,S,3,100,1,100,100,100,100000,27348,79857,53740.93925
sdd-lstct,S,3,100,1,100,100,100,100000,117219,77694.41999,6149.145384
sdd-lstct,S,3,100,1,100,100,100,100000,114520,75612.97999,1966.087408
sdd-lstct,S,3,100,1,100,100,100,100000,114364,74850.35999,703.825767
sdd-lstct,S,3,100,1,100,100,100,100000,113999,103059.1799,10457.19154
sdd-lstct,S,3,100,1,256,256,256,100000,2709294,1246440.839,407572.4855
sdd-lstct,S,3,100,1,256,256,256,100000,2720568,1340899.559,211470.8831
sdd-lstct,S,3,100,1,256,256,256,100000,2709408,1175333.479,130566.0887
sdd-lstct,S,3,100,1,256,256,256,100000,2700155,1403910.099,229023.7631
sdd-lstct,S,3,100,1,256,256,256,100000,2727760,1483881.679,142707.7591
sdd-lstct,S,3,100,1,400,400,400,100000,3602540,3594276.079,883354.4584
sdd-lstct,S,3,100,1,400,400,400,100000,3592027,4942452.939,179062.713
sdd-lstct,S,3,100,1,400,400,400,100000,3632091,4636345.319,400462.6166
sdd-lstct,S,3,100,1,400,400,400,100000,3591495,5020363.319,480838.3622
sdd-lstct,S,3,100,1,400,400,400,100000,3594844,4986700.179,249562.0426
sdd-lstct,S,3,100,1,224,224,224,100000,666095,1716788.079,342610.7939
sdd-lstct,S,3,100,1,224,224,224,100000,665227,1086591.319,472082.2497
sdd-lstct,S,3,100,1,224,224,224,100000,664445,1566740,38226.13376
sdd-lstct,S,3,100,1,224,224,224,100000,673586,1647633.799,35449.82882
sdd-lstct,S,3,100,1,224,224,224,100000,672374,1557455.379,433738.6269
sdd-lstct,D,3,100,1,64,64,64,100000,15839,32504.19999,33679.66787
sdd-lstct,D,3,100,1,64,64,64,100000,64329,24485.73999,2669.248319
sdd-lstct,D,3,100,1,64,64,64,100000,54721,25403.15999,1249.298512
sdd-lstct,D,3,100,1,64,64,64,100000,54901,25946.43999,1884.353344
sdd-lstct,D,3,100,1,64,64,64,100000,54715,25949.37999,1642.44604
sdd-lstct,D,3,100,1,50,50,50,100000,4634,15786.79999,3260.215949
sdd-lstct,D,3,100,1,50,50,50,100000,7688,14649.59999,966.0991046
sdd-lstct,D,3,100,1,50,50,50,100000,6942,13908.23999,949.0188735
sdd-lstct,D,3,100,1,50,50,50,100000,6848,13751.45999,665.186777
sdd-lstct,D,3,100,1,50,50,50,100000,6935,13832.27999,894.8771991
sdd-lstct,D,3,100,1,288,288,288,100000,1960504,2352512,1078659.695
sdd-lstct,D,3,100,1,288,288,288,100000,1962171,2991272.619,561159.7937
sdd-lstct,D,3,100,1,288,288,288,100000,1937989,3580347.519,390067.3251
sdd-lstct,D,3,100,1,288,288,288,100000,1988234,3366656.179,432218.9004
sdd-lstct,D,3,100,1,288,288,288,100000,1984268,3902264.219,382683.1217
sdd-lstct,D,3,100,1,192,192,192,100000,697808,1491766.119,424490.1076
sdd-lstct,D,3,100,1,192,192,192,100000,686586,938629.0799,454232.2058
sdd-lstct,D,3,100,1,192,192,192,100000,694869,1629151.539,96651.08995
sdd-lstct,D,3,100,1,192,192,192,100000,691812,1318456.359,332251.0524
sdd-lstct,D,3,100,1,192,192,192,100000,697981,1553869.339,78829.68728
sdd-lstct,D,3,100,1,160,160,160,100000,228872,698205.2999,126101.9593
sdd-lstct,D,3,100,1,160,160,160,100000,940231,613400.3199,33957.64326
sdd-lstct,D,3,100,1,160,160,160,100000,914556,544527.3199,47686.3949
sdd-lstct,D,3,100,1,160,160,160,100000,971749,470828.9799,55210.33602
sdd-lstct,D,3,100,1,160,160,160,100000,958463,456169.7999,11862.48121
sdd-lstct,D,3,100,1,350,350,350,100000,2018925,4084745.339,1016553.369
sdd-lstct,D,3,100,1,350,350,350,100000,2065322,4431474.379,1583971.828
sdd-lstct,D,3,100,1,350,350,350,100000,2044072,5942393.639,441491.0739
sdd-lstct,D,3,100,1,350,350,350,100000,2034188,5966515.5,512211.5159
sdd-lstct,D,3,100,1,350,350,350,100000,2029045,6171346,490286.7121
sdd-lstct,D,3,100,1,96,96,96,100000,47737,157429.3199,77722.61034
sdd-lstct,D,3,100,1,96,96,96,100000,161347,139609.4399,3080.541135
sdd-lstct,D,3,100,1,96,96,96,100000,169736,143536.6999,6750.649365
sdd-lstct,D,3,100,1,96,96,96,100000,179336,154995.8199,2764.362086
sdd-lstct,D,3,100,1,96,96,96,100000,177948,217202.4799,10448.73953
sdd-lstct,D,3,100,1,128,128,128,100000,204983,409967.6199,53670.71085
sdd-lstct,D,3,100,1,128,128,128,100000,637994,370526.6199,10401.47787
sdd-lstct,D,3,100,1,128,128,128,100000,655233,487896.7999,147479.4566
sdd-lstct,D,3,100,1,128,128,128,100000,593549,617223.8799,47524.99963
sdd-lstct,D,3,100,1,128,128,128,100000,426735,510235.5399,34652.46783
sdd-lstct,D,3,100,1,150,150,150,100000,145237,1178253.979,74155.71918
sdd-lstct,D,3,100,1,150,150,150,100000,552623,964476.8799,74945.0708
sdd-lstct,D,3,100,1,150,150,150,100000,530734,874959.4199,69769.41855
sdd-lstct,D,3,100,1,150,150,150,100000,503553,913206.1999,45150.5087
sdd-lstct,D,3,100,1,150,150,150,100000,473822,781913.6999,109925.8384
sdd-lstct,D,3,100,1,250,250,250,100000,693743,1682374.159,509256.095
sdd-lstct,D,3,100,1,250,250,250,100000,703973,1968077.599,656546.4875
sdd-lstct,D,3,100,1,250,250,250,100000,697364,2464126.759,173497.7123
sdd-lstct,D,3,100,1,250,250,250,100000,708143,2080630.379,118078.2923
sdd-lstct,D,3,100,1,250,250,250,100000,698336,2543140.599,151608.3338
sdd-lstct,D,3,100,1,300,300,300,100000,1460846,3068759.059,926351.7652
sdd-lstct,D,3,100,1,300,300,300,100000,1475012,3568849.579,277522.5644
sdd-lstct,D,3,100,1,300,300,300,100000,1477971,3486845.859,534544.836
sdd-lstct,D,3,100,1,300,300,300,100000,1458627,3766948.839,564554.878
sdd-lstct,D,3,100,1,300,300,300,100000,1466956,3266556.279,533339.1421
sdd-lstct,D,3,100,1,200,200,200,100000,453408,1422092.699,529780.4185
sdd-lstct,D,3,100,1,200,200,200,100000,456721,1630144.479,173796.0066
sdd-lstct,D,3,100,1,200,200,200,100000,451389,1251217.259,363371.0552
sdd-lstct,D,3,100,1,200,200,200,100000,455029,1568950.599,147996.0174
sdd-lstct,D,3,100,1,200,200,200,100000,450844,1648507.079,88396.68232
sdd-lstct,D,3,100,1,100,100,100,100000,35870,397073.6999,45745.11765
sdd-lstct,D,3,100,1,100,100,100,100000,69181,404293.4199,6000.517964
sdd-lstct,D,3,100,1,100,100,100,100000,60559,421500.1399,9621.381609
sdd-lstct,D,3,100,1,100,100,100,100000,58035,352377.5399,29722.01124
sdd-lstct,D,3,100,1,100,100,100,100000,53853,333996.2199,2059.07291
sdd-lstct,D,3,100,1,256,256,256,100000,3233532,2108366.779,500502.7702
sdd-lstct,D,3,100,1,256,256,256,100000,3229847,1824022.579,522431.589
sdd-lstct,D,3,100,1,256,256,256,100000,3838873,2526584.439,162527.9175
sdd-lstct,D,3,100,1,256,256,256,100000,3213061,2406581.179,216494.1432
sdd-lstct,D,3,100,1,256,256,256,100000,3225230,2427392.139,257236.0423
sdd-lstct,D,3,100,1,400,400,400,100000,5171329,5838541.819,939683.2853
sdd-lstct,D,3,100,1,400,400,400,100000,5169928,7610216.079,529549.1716
sdd-lstct,D,3,100,1,400,400,400,100000,5150104,6772348,948913.7828
sdd-lstct,D,3,100,1,400,400,400,100000,5185054,8457776.839,1388956.887
sdd-lstct,D,3,100,1,400,400,400,100000,5195554,8910473.139,1471704.338
sdd-lstct,D,3,100,1,224,224,224,100000,845030,1640833.799,667384.7315
sdd-lstct,D,3,100,1,224,224,224,100000,835860,1427193.519,352018.7772
sdd-lstct,D,3,100,1,224,224,224,100000,835681,1652417.319,636517.361
sdd-lstct,D,3,100,1,224,224,224,100000,845020,2156765.579,319784.1606
sdd-lstct,D,3,100,1,224,224,224,100000,848666,2064174.459,176321.9292
sdd-lstct,S,3,100,2,288,288,288,100000,3818277,2252182.259,696050.4355
sdd-lstct,S,3,100,2,288,288,288,100000,3823809,2937217.819,640081.4845
sdd-lstct,S,3,100,2,288,288,288,100000,4514281,3772236.439,106957.004
sdd-lstct,S,3,100,2,288,288,288,100000,3816001,3406144.139,406951.7778
sdd-lstct,S,3,100,2,288,288,288,100000,3823207,3280837.979,649098.7272
sdd-lstct,S,3,100,2,224,224,224,100000,1633986,1323426.039,571440.4548
sdd-lstct,S,3,100,2,224,224,224,100000,1637887,1448400.239,332119.6454
sdd-lstct,S,3,100,2,224,224,224,100000,1649703,2025540.579,216709.9718
sdd-lstct,S,3,100,2,224,224,224,100000,1662993,2123561.399,107010.7683
sdd-lstct,S,3,100,2,224,224,224,100000,1624190,2004322.719,75140.95794
sdd-lstct,S,3,100,2,160,160,160,100000,447220,956511.9799,76812.89295
sdd-lstct,S,3,100,2,160,160,160,100000,1701832,715783.4799,45051.06074
sdd-lstct,S,3,100,2,160,160,160,100000,1597088,566174.9399,9555.629056
sdd-lstct,S,3,100,2,160,160,160,100000,1421027,589188.0999,40338.40525
sdd-lstct,S,3,100,2,160,160,160,100000,1421293,638273.9399,40967.94056
sdd-lstct,S,3,100,2,250,250,250,100000,1316131,1767183.179,690148.2129
sdd-lstct,S,3,100,2,250,250,250,100000,1377975,1937596.219,310509.5321
sdd-lstct,S,3,100,2,250,250,250,100000,1315336,2098707.879,136042.1575
sdd-lstct,S,3,100,2,250,250,250,100000,1320381,2503659.319,364491.1217
sdd-lstct,S,3,100,2,250,250,250,100000,1347063,2542892.659,177859.1264
sdd-lstct,S,3,100,2,96,96,96,100000,85572,98645.37999,79594.35403
sdd-lstct,S,3,100,2,96,96,96,100000,310982,84891.29999,1144.528186
sdd-lstct,S,3,100,2,96,96,96,100000,309782,84841,829.0443413
sdd-lstct,S,3,100,2,96,96,96,100000,309483,90104.85999,811.6738017
sdd-lstct,S,3,100,2,96,96,96,100000,296438,90598.15999,819.1755699
sdd-lstct,S,3,100,2,50,50,50,100000,5248,14186.23999,3221.845791
sdd-lstct,S,3,100,2,50,50,50,100000,12353,14200.89999,459.0822693
sdd-lstct,S,3,100,2,50,50,50,100000,11674,14361.97999,628.2376457
sdd-lstct,S,3,100,2,50,50,50,100000,11631,14307.57999,85.28237567
sdd-lstct,S,3,100,2,50,50,50,100000,11663,14392.29999,729.5018642
sdd-lstct,S,3,100,2,192,192,192,100000,1406313,1322946.079,456568.1404
sdd-lstct,S,3,100,2,192,192,192,100000,1396369,778760.5799,373109.0691
sdd-lstct,S,3,100,2,192,192,192,100000,1398153,1592212.879,74677.72291
sdd-lstct,S,3,100,2,192,192,192,100000,1402208,1528537.839,157276.2045
sdd-lstct,S,3,100,2,192,192,192,100000,1403447,1618910.279,56985.99225
sdd-lstct,S,3,100,2,64,64,64,100000,22755,34127.65999,35502.12249
sdd-lstct,S,3,100,2,64,64,64,100000,95451,21409.31999,617.3367781
sdd-lstct,S,3,100,2,64,64,64,100000,93713,21394.91999,594.6410291
sdd-lstct,S,3,100,2,64,64,64,100000,93881,21439.55999,1031.67247
sdd-lstct,S,3,100,2,64,64,64,100000,91640,39166.35999,917.8153574
sdd-lstct,S,3,100,2,350,350,350,100000,3903049,4058630.119,786016.762
sdd-lstct,S,3,100,2,350,350,350,100000,3901649,5575580.819,288765.4331
sdd-lstct,S,3,100,2,350,350,350,100000,3897232,5421588.859,1022554.87
sdd-lstct,S,3,100,2,350,350,350,100000,3953286,5881068.359,406940.1061
