algorithm,precision,dims,iterations,s,nx,ny,nz,continuous_x_diagonal,x_tile_size,init_time,time,std_dev
sdd-lstmtai,S,3,100,1,50,50,50,false,48,3146,6007.939999,1306.460277
sdd-lstmtai,S,3,100,1,50,50,50,false,48,3849,5826.219999,154.4808454
sdd-lstmtai,S,3,100,1,50,50,50,false,48,4023,5832.919999,153.2422709
sdd-lstmtai,S,3,100,1,50,50,50,false,48,3930,5822.5,149.1649087
sdd-lstmtai,S,3,100,1,50,50,50,false,48,3950,5828.159999,145.4143541
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1991278,674454.5399,19711.9016
sdd-lstmtai,S,3,100,1,288,288,288,false,48,2001380,674806.6599,21910.40675
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1995460,496598,93682.0267
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1915646,678514.5399,25282.09115
sdd-lstmtai,S,3,100,1,288,288,288,false,48,1914142,663635.8999,1229.703935
sdd-lstmtai,S,3,100,1,192,192,192,false,48,394971,63028.55999,3440.196652
sdd-lstmtai,S,3,100,1,192,192,192,false,48,403092,65608.15999,3863.949571
sdd-lstmtai,S,3,100,1,192,192,192,false,48,419281,61497.47999,1197.474329
sdd-lstmtai,S,3,100,1,192,192,192,false,48,408688,66293.69999,1110.829964
sdd-lstmtai,S,3,100,1,192,192,192,false,48,411554,61438.13999,1228.973523
sdd-lstmtai,S,3,100,1,160,160,160,false,48,215885,44381.57999,2737.701269
sdd-lstmtai,S,3,100,1,160,160,160,false,48,230239,44209.61999,1080.485536
sdd-lstmtai,S,3,100,1,160,160,160,false,48,233401,43613.5,2164.268488
sdd-lstmtai,S,3,100,1,160,160,160,false,48,233348,40669.89999,667.6263101
sdd-lstmtai,S,3,100,1,160,160,160,false,48,234763,40761.45999,582.5645444
sdd-lstmtai,S,3,100,1,350,350,350,false,48,4171196,1252078.439,3212.570653
sdd-lstmtai,S,3,100,1,350,350,350,false,48,4190017,962020.7599,113632.3127
sdd-lstmtai,S,3,100,1,350,350,350,false,48,4165446,808470.3399,153860.8623
sdd-lstmtai,S,3,100,1,350,350,350,false,48,4172328,906750.1799,214308.0759
sdd-lstmtai,S,3,100,1,350,350,350,false,48,4171886,1089309.419,133351.7962
sdd-lstmtai,S,3,100,1,96,96,96,false,48,39223,22509.43999,1585.160057
sdd-lstmtai,S,3,100,1,96,96,96,false,48,46091,21654.59999,81.92264644
sdd-lstmtai,S,3,100,1,96,96,96,false,48,47768,21937,93.8965388
sdd-lstmtai,S,3,100,1,96,96,96,false,48,46299,21429.93999,99.19665518
sdd-lstmtai,S,3,100,1,96,96,96,false,48,44724,21907.75999,138.8042593
sdd-lstmtai,S,3,100,1,128,128,128,false,48,107583,25007.5,1341.628596
sdd-lstmtai,S,3,100,1,128,128,128,false,48,121676,24016.41999,447.6929791
sdd-lstmtai,S,3,100,1,128,128,128,false,48,118715,25120.53999,582.5043591
sdd-lstmtai,S,3,100,1,128,128,128,false,48,118475,24252.71999,447.1237877
sdd-lstmtai,S,3,100,1,128,128,128,false,48,118716,24212.59999,395.7183341
sdd-lstmtai,S,3,100,1,150,150,150,false,48,216671,37581.43999,3278.539566
sdd-lstmtai,S,3,100,1,150,150,150,false,48,233822,36558.91999,664.0612875
sdd-lstmtai,S,3,100,1,150,150,150,false,48,233332,36662.83999,680.0001576
sdd-lstmtai,S,3,100,1,150,150,150,false,48,236555,36925.61999,686.7699728
sdd-lstmtai,S,3,100,1,150,150,150,false,48,234282,38372.67999,785.7902122
sdd-lstmtai,S,3,100,1,250,250,250,false,48,2383350,385398.7199,11339.00384
sdd-lstmtai,S,3,100,1,250,250,250,false,48,2432074,385632.8999,1206.52818
sdd-lstmtai,S,3,100,1,250,250,250,false,48,2404895,344804.3799,56124.23645
sdd-lstmtai,S,3,100,1,250,250,250,false,48,2421802,392450.4399,30856.69458
sdd-lstmtai,S,3,100,1,250,250,250,false,48,2418968,377809.7599,1091.925593
sdd-lstmtai,S,3,100,1,300,300,300,false,48,2320280,751674.1199,31050.59154
sdd-lstmtai,S,3,100,1,300,300,300,false,48,2176440,742003.8799,18508.75012
sdd-lstmtai,S,3,100,1,300,300,300,false,48,2213408,608385.0999,30540.16788
sdd-lstmtai,S,3,100,1,300,300,300,false,48,2208536,733363.7399,49775.0388
sdd-lstmtai,S,3,100,1,300,300,300,false,48,2210462,652948.9799,28032.31218
sdd-lstmtai,S,3,100,1,100,100,100,false,48,30796,18393.87999,920.673702
sdd-lstmtai,S,3,100,1,100,100,100,false,48,39750,16617.85999,131.4540239
sdd-lstmtai,S,3,100,1,100,100,100,false,48,40698,16561.13999,96.50803282
sdd-lstmtai,S,3,100,1,100,100,100,false,48,38164,16660.97999,83.24265493
sdd-lstmtai,S,3,100,1,100,100,100,false,48,37777,16651.55999,107.0809338
sdd-lstmtai,S,3,100,1,224,224,224,false,48,870897,145545.6799,14047.55725
sdd-lstmtai,S,3,100,1,224,224,224,false,48,882210,139593.1199,1790.70771
sdd-lstmtai,S,3,100,1,224,224,224,false,48,881933,140342.1399,1495.308757
sdd-lstmtai,S,3,100,1,224,224,224,false,48,882103,165755.5599,37839.87477
sdd-lstmtai,S,3,100,1,224,224,224,false,48,834687,186631.2799,1255.307723
sdd-lstmtai,S,3,100,1,64,64,64,false,32,8212,13354.23999,1964.540145
sdd-lstmtai,S,3,100,1,64,64,64,false,32,9986,11026.31999,46.13000758
sdd-lstmtai,S,3,100,1,64,64,64,false,32,10098,11073.55999,35.24040862
sdd-lstmtai,S,3,100,1,64,64,64,false,32,9957,11038.17999,44.4556813
sdd-lstmtai,S,3,100,1,64,64,64,false,32,9937,11031.29999,51.44871232
sdd-lstmtai,S,3,100,1,50,50,50,false,32,3251,7667.299999,1749.736508
sdd-lstmtai,S,3,100,1,50,50,50,false,32,4310,7435.979999,76.68884925
sdd-lstmtai,S,3,100,1,50,50,50,false,32,4343,7364.799999,77.61546237
sdd-lstmtai,S,3,100,1,50,50,50,false,32,4141,7357.399999,73.16775245
sdd-lstmtai,S,3,100,1,50,50,50,false,32,4065,7366.839999,75.08378253
sdd-lstmtai,S,3,100,1,288,288,288,false,32,2011391,625745.3799,44604.24764
sdd-lstmtai,S,3,100,1,288,288,288,false,32,2035891,609864.2399,4459.322148
sdd-lstmtai,S,3,100,1,288,288,288,false,32,2028618,508813.0999,90554.28219
sdd-lstmtai,S,3,100,1,288,288,288,false,32,2017487,610342,3580.12069
sdd-lstmtai,S,3,100,1,288,288,288,false,32,2022713,610546.5799,2847.934192
sdd-lstmtai,S,3,100,1,192,192,192,false,32,395781,60644.79999,3318.170514
sdd-lstmtai,S,3,100,1,192,192,192,false,32,403515,58411.51999,1410.42255
sdd-lstmtai,S,3,100,1,192,192,192,false,32,415442,58297.23999,1215.772734
sdd-lstmtai,S,3,100,1,192,192,192,false,32,404183,64223.05999,1051.077245
sdd-lstmtai,S,3,100,1,192,192,192,false,32,413022,58008.61999,1560.838837
sdd-lstmtai,S,3,100,1,160,160,160,false,32,211297,45190.23999,1296.191275
sdd-lstmtai,S,3,100,1,160,160,160,false,32,226402,45611.43999,662.5994916
sdd-lstmtai,S,3,100,1,160,160,160,false,32,226730,45693.09999,694.1539958
sdd-lstmtai,S,3,100,1,160,160,160,false,32,226240,45330.45999,651.1735931
sdd-lstmtai,S,3,100,1,160,160,160,false,32,226065,45508.79999,625.6004475
sdd-lstmtai,S,3,100,1,350,350,350,false,32,4152531,1195613.559,5285.711456
sdd-lstmtai,S,3,100,1,350,350,350,false,32,4177053,946313.6399,102371.6733
sdd-lstmtai,S,3,100,1,350,350,350,false,32,4181100,877812.1599,193506.9743
sdd-lstmtai,S,3,100,1,350,350,350,false,32,4175654,1069923.859,171358.4255
sdd-lstmtai,S,3,100,1,350,350,350,false,32,4175622,1091618.059,115678.8394
sdd-lstmtai,S,3,100,1,96,96,96,false,32,38808,18432.79999,1710.463668
sdd-lstmtai,S,3,100,1,96,96,96,false,32,46569,15804.35999,68.998771
sdd-lstmtai,S,3,100,1,96,96,96,false,32,49280,15808.23999,175.6272826
sdd-lstmtai,S,3,100,1,96,96,96,false,32,48612,15737.73999,77.6679625
sdd-lstmtai,S,3,100,1,96,96,96,false,32,46138,15671.57999,89.49035478
sdd-lstmtai,S,3,100,1,128,128,128,false,32,108209,26921,1664.578709
sdd-lstmtai,S,3,100,1,128,128,128,false,32,119401,24924.03999,366.9545999
sdd-lstmtai,S,3,100,1,128,128,128,false,32,120113,25097.19999,401.7535563
sdd-lstmtai,S,3,100,1,128,128,128,false,32,120652,25484.71999,409.0824875
sdd-lstmtai,S,3,100,1,128,128,128,false,32,119109,25048.79999,411.8948895
sdd-lstmtai,S,3,100,1,150,150,150,false,32,215711,42077.67999,1228.892337
sdd-lstmtai,S,3,100,1,150,150,150,false,32,232838,41810.67999,338.8601741
sdd-lstmtai,S,3,100,1,150,150,150,false,32,231362,41857.93999,316.1144988
sdd-lstmtai,S,3,100,1,150,150,150,false,32,227505,42297.19999,314.1289544
sdd-lstmtai,S,3,100,1,150,150,150,false,32,226983,42286.57999,313.4412283
sdd-lstmtai,S,3,100,1,250,250,250,false,32,2425471,334306.8799,2693.458339
sdd-lstmtai,S,3,100,1,250,250,250,false,32,2446468,334799.5999,2168.088346
sdd-lstmtai,S,3,100,1,250,250,250,false,32,2450420,336559.1799,3795.479556
sdd-lstmtai,S,3,100,1,250,250,250,false,32,2438513,267810.7599,35317.78617
sdd-lstmtai,S,3,100,1,250,250,250,false,32,2380063,325914.1399,2496.637242
sdd-lstmtai,S,3,100,1,300,300,300,false,32,2321195,699668.8799,19178.56227
sdd-lstmtai,S,3,100,1,300,300,300,false,32,2332806,633784.6199,34308.47647
sdd-lstmtai,S,3,100,1,300,300,300,false,32,2330672,697778.9599,11376.36247
sdd-lstmtai,S,3,100,1,300,300,300,false,32,2330682,512135.0599,125401.6768
sdd-lstmtai,S,3,100,1,300,300,300,false,32,2329002,695593.0199,3026.049289
