algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstmdtfai,S,3,100,1,64,64,64,1,10000,1,5423.6,532.813138
lstmdtfai,S,3,100,1,64,64,64,1,10000,4,5308.32,28.95406016
lstmdtfai,S,3,100,1,64,64,64,1,10000,3,5301.32,40.95189373
lstmdtfai,S,3,100,1,64,64,64,1,10000,4,5288.16,41.80208607
lstmdtfai,S,3,100,1,64,64,64,1,10000,4,5313.04,42.0385347
lstmdtfai,S,3,100,1,500,500,500,1,10000,11,927602.48,3511.560885
lstmdtfai,S,3,100,1,500,500,500,1,10000,12,926981.04,3425.64624
lstmdtfai,S,3,100,1,500,500,500,1,10000,18,836703.04,88587.24299
lstmdtfai,S,3,100,1,500,500,500,1,10000,18,919710.22,23538.01582
lstmdtfai,S,3,100,1,500,500,500,1,10000,13,843062.4,64904.53282
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,29,12714757.44,1879569.456
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,30,17811426.32,442996.729
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,28,13106356.42,2826364.506
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,28,17632167.42,285874.5507
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,30,17726896.66,588545.7488
lstmdtfai,S,3,100,1,50,50,50,1,10000,1,2582.96,343.5385836
lstmdtfai,S,3,100,1,50,50,50,1,10000,4,2492.24,19.41912459
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,2507.92,20.57069761
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,2525.26,16.04968536
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,2536.08,21.84018315
lstmdtfai,S,3,100,1,288,288,288,1,10000,6,116078.54,10771.56876
lstmdtfai,S,3,100,1,288,288,288,1,10000,9,122591.96,4438.864192
lstmdtfai,S,3,100,1,288,288,288,1,10000,6,110684.64,4083.067772
lstmdtfai,S,3,100,1,288,288,288,1,10000,6,109474.24,273.5784027
lstmdtfai,S,3,100,1,288,288,288,1,10000,11,109581.02,260.6949551
lstmdtfai,S,3,100,1,192,192,192,1,10000,4,31869.76,765.8035142
lstmdtfai,S,3,100,1,192,192,192,1,10000,5,32567.62,124.2405554
lstmdtfai,S,3,100,1,192,192,192,1,10000,4,32325.5,68.95077955
lstmdtfai,S,3,100,1,192,192,192,1,10000,5,32016.24,81.64987691
lstmdtfai,S,3,100,1,192,192,192,1,10000,4,32015.78,61.60723659
lstmdtfai,S,3,100,1,160,160,160,1,10000,3,28609.38,964.7117681
lstmdtfai,S,3,100,1,160,160,160,1,10000,4,28488.7,72.71182847
lstmdtfai,S,3,100,1,160,160,160,1,10000,4,28571.7,73.34909679
lstmdtfai,S,3,100,1,160,160,160,1,10000,5,28593.28,69.11874999
lstmdtfai,S,3,100,1,160,160,160,1,10000,4,28578.06,86.39291869
lstmdtfai,S,3,100,1,350,350,350,1,10000,8,222460.24,2079.339853
lstmdtfai,S,3,100,1,350,350,350,1,10000,9,223228.24,370.6872838
lstmdtfai,S,3,100,1,350,350,350,1,10000,8,204661.74,4766.087602
lstmdtfai,S,3,100,1,350,350,350,1,10000,12,222159.34,323.5027425
lstmdtfai,S,3,100,1,350,350,350,1,10000,8,221342.86,5155.136891
lstmdtfai,S,3,100,1,96,96,96,1,10000,2,9284.46,544.6050022
lstmdtfai,S,3,100,1,96,96,96,1,10000,3,9193.68,42.32939404
lstmdtfai,S,3,100,1,96,96,96,1,10000,2,9183.42,34.76094935
