algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcs,S,3,100,1,64,64,64,1,1,62856.02,4269.517062
lstcs,S,3,100,1,64,64,64,1,3,66582.4,7438.691423
lstcs,S,3,100,1,64,64,64,1,5,59274.24,4065.837565
lstcs,S,3,100,1,64,64,64,1,4,48995.34,1984.350953
lstcs,S,3,100,1,64,64,64,1,5,47539.78,1584.298195
lstcs,S,3,100,1,50,50,50,1,1,11121.8,980.3050342
lstcs,S,3,100,1,50,50,50,1,2,10916.4,1054.234338
lstcs,S,3,100,1,50,50,50,1,2,10780.72,882.0403855
lstcs,S,3,100,1,50,50,50,1,2,10864,977.1349753
lstcs,S,3,100,1,50,50,50,1,2,10734.12,886.3901092
lstcs,S,3,100,1,288,288,288,1,9,726877.66,116182.3093
lstcs,S,3,100,1,288,288,288,1,11,715462.16,17605.88098
lstcs,S,3,100,1,288,288,288,1,12,711651.64,1376.507606
lstcs,S,3,100,1,288,288,288,1,11,718965.42,47114.14663
lstcs,S,3,100,1,288,288,288,1,11,711883.24,17998.62657
lstcs,S,3,100,1,192,192,192,1,5,516304.24,193315.7925
lstcs,S,3,100,1,192,192,192,1,8,417998.08,13482.57793
lstcs,S,3,100,1,192,192,192,1,8,416048.54,2522.342159
lstcs,S,3,100,1,192,192,192,1,8,415890.36,1957.347754
lstcs,S,3,100,1,192,192,192,1,7,420719.36,13862.21022
lstcs,S,3,100,1,160,160,160,1,3,197349.54,8424.777147
lstcs,S,3,100,1,160,160,160,1,6,194688.8,1601.442425
lstcs,S,3,100,1,160,160,160,1,6,195541.54,2368.080609
lstcs,S,3,100,1,160,160,160,1,6,200332.66,13386.12559
lstcs,S,3,100,1,160,160,160,1,6,197646.34,2485.625302
lstcs,S,3,100,1,350,350,350,1,10,1435314.26,16768.98194
lstcs,S,3,100,1,350,350,350,1,13,1472754.56,119227.2353
lstcs,S,3,100,1,350,350,350,1,13,1451152.9,17451.51011
lstcs,S,3,100,1,350,350,350,1,13,1452990.86,28274.87882
lstcs,S,3,100,1,350,350,350,1,14,1459686.02,17012.91566
lstcs,S,3,100,1,96,96,96,1,2,37646.78,1638.492213
lstcs,S,3,100,1,96,96,96,1,3,37529.2,1524.572504
lstcs,S,3,100,1,96,96,96,1,4,37636.64,1529.25184
lstcs,S,3,100,1,96,96,96,1,4,37615.6,1535.025316
lstcs,S,3,100,1,96,96,96,1,4,37626.54,1520.484978
lstcs,S,3,100,1,128,128,128,1,3,224095.54,14950.92713
lstcs,S,3,100,1,128,128,128,1,5,195751.88,7700.916495
lstcs,S,3,100,1,128,128,128,1,5,150768.42,31359.78912
lstcs,S,3,100,1,128,128,128,1,5,106096.36,902.0837602
lstcs,S,3,100,1,128,128,128,1,5,114496.62,20340.15505
lstcs,S,3,100,1,150,150,150,1,3,311419.18,65463.48238
lstcs,S,3,100,1,150,150,150,1,5,183020.86,21963.87988
lstcs,S,3,100,1,150,150,150,1,7,171417.94,6794.049913
lstcs,S,3,100,1,150,150,150,1,6,174840.04,16141.92574
lstcs,S,3,100,1,150,150,150,1,6,170973.52,1770.718885
lstcs,S,3,100,1,250,250,250,1,6,582759.5,18268.32636
lstcs,S,3,100,1,250,250,250,1,8,575881.22,2149.150868
lstcs,S,3,100,1,250,250,250,1,8,584180.08,17202.82583
lstcs,S,3,100,1,250,250,250,1,10,581327.52,1229.419168
lstcs,S,3,100,1,250,250,250,1,9,586022.32,23441.21321
lstcs,S,3,100,1,300,300,300,1,8,1122750.14,13873.93735
lstcs,S,3,100,1,300,300,300,1,12,1150085.16,11209.36686
lstcs,S,3,100,1,300,300,300,1,16,1172632.02,68530.93677
lstcs,S,3,100,1,300,300,300,1,13,1155262.52,12025.93946
lstcs,S,3,100,1,300,300,300,1,14,1157829.1,16242.40455
lstcs,S,3,100,1,200,200,200,1,6,353678.74,133360.3484
lstcs,S,3,100,1,200,200,200,1,7,317353.2,1573.029586
lstcs,S,3,100,1,200,200,200,1,7,321118.52,16046.51939
lstcs,S,3,100,1,200,200,200,1,8,318421.98,1703.716625
lstcs,S,3,100,1,200,200,200,1,8,317670.76,1434.327488
lstcs,S,3,100,1,100,100,100,1,2,40647.24,1577.170917
lstcs,S,3,100,1,100,100,100,1,4,40781.66,1767.441412
lstcs,S,3,100,1,100,100,100,1,4,40634.24,1600.323212
lstcs,S,3,100,1,100,100,100,1,5,40526.52,1676.547968
lstcs,S,3,100,1,100,100,100,1,4,40745.4,1628.153113
lstcs,S,3,100,1,256,256,256,1,6,742256.64,170618.787
lstcs,S,3,100,1,256,256,256,1,10,743569.54,100526.1099
lstcs,S,3,100,1,256,256,256,1,9,715709.8,1630.659548
lstcs,S,3,100,1,256,256,256,1,8,720227.6,10229.76637
lstcs,S,3,100,1,256,256,256,1,9,720957.72,12269.16599
lstcs,S,3,100,1,400,400,400,1,13,2214318.68,156538.2837
lstcs,S,3,100,1,400,400,400,1,14,2190253.24,57429.02299
lstcs,S,3,100,1,400,400,400,1,14,2209876.34,36950.94011
lstcs,S,3,100,1,400,400,400,1,19,2232373.06,24143.84749
lstcs,S,3,100,1,400,400,400,1,19,2246460.62,152957.0674
lstcs,S,3,100,1,224,224,224,1,6,494163.24,215610.8098
lstcs,S,3,100,1,224,224,224,1,11,411894.28,10571.58655
lstcs,S,3,100,1,224,224,224,1,8,414008.82,19514.44519
lstcs,S,3,100,1,224,224,224,1,8,415499.96,14649.10084
lstcs,S,3,100,1,224,224,224,1,8,411611.6,1934.419107
lstcs,D,3,100,1,64,64,64,1,1,29469.08,1518.884984
lstcs,D,3,100,1,64,64,64,1,4,29549.66,1517.431061
lstcs,D,3,100,1,64,64,64,1,4,29151.46,1437.442579
lstcs,D,3,100,1,64,64,64,1,4,29090.7,1429.438285
lstcs,D,3,100,1,64,64,64,1,4,28944.56,1595.418781
lstcs,D,3,100,1,50,50,50,1,1,12520.8,1038.614982
lstcs,D,3,100,1,50,50,50,1,3,12591.24,1087.731724
lstcs,D,3,100,1,50,50,50,1,3,12631.84,1384.374637
lstcs,D,3,100,1,50,50,50,1,3,12576.42,1102.955359
lstcs,D,3,100,1,50,50,50,1,3,12769.6,1969.35753
lstcs,D,3,100,1,288,288,288,1,10,796600.48,17252.02026
lstcs,D,3,100,1,288,288,288,1,13,798031.1,17456.68932
lstcs,D,3,100,1,288,288,288,1,14,802210.94,11589.06083
lstcs,D,3,100,1,288,288,288,1,14,799265.26,17746.04108
lstcs,D,3,100,1,288,288,288,1,14,799926.54,20045.94241
lstcs,D,3,100,1,192,192,192,1,7,422643.06,2564.960829
lstcs,D,3,100,1,192,192,192,1,12,430378.12,2078.174773
lstcs,D,3,100,1,192,192,192,1,11,435022.9,19987.03905
lstcs,D,3,100,1,192,192,192,1,12,429253.22,1756.941733
lstcs,D,3,100,1,192,192,192,1,11,432137.8,14116.8433
lstcs,D,3,100,1,160,160,160,1,5,244036.68,1290.032704
lstcs,D,3,100,1,160,160,160,1,8,244823.24,987.9314057
lstcs,D,3,100,1,160,160,160,1,9,248608.4,15843.97445
lstcs,D,3,100,1,160,160,160,1,9,245322.64,1408.143043
lstcs,D,3,100,1,160,160,160,1,8,245338.48,1311.074494
lstcs,D,3,100,1,350,350,350,1,12,1576352.84,17572.13631
lstcs,D,3,100,1,350,350,350,1,15,1629411.48,163691.4372
lstcs,D,3,100,1,350,350,350,1,15,1601335.58,17434.14972
lstcs,D,3,100,1,350,350,350,1,15,1583344.5,19340.40806
lstcs,D,3,100,1,350,350,350,1,15,1578916.38,28465.14965
lstcs,D,3,100,1,96,96,96,1,2,48450.66,1557.880761
lstcs,D,3,100,1,96,96,96,1,4,48337.66,1558.071791
lstcs,D,3,100,1,96,96,96,1,4,48726.98,1718.207746
lstcs,D,3,100,1,96,96,96,1,5,50226.46,6997.739681
lstcs,D,3,100,1,96,96,96,1,5,48800.84,1687.577665
lstcs,D,3,100,1,128,128,128,1,3,144669.46,26913.03144
lstcs,D,3,100,1,128,128,128,1,8,144818.66,20445.69956
lstcs,D,3,100,1,128,128,128,1,7,137704.46,1456.558261
lstcs,D,3,100,1,128,128,128,1,6,138612.2,1325.336923
lstcs,D,3,100,1,128,128,128,1,6,139092.46,1351.712768
lstcs,D,3,100,1,150,150,150,1,4,206141.48,1410.803207
lstcs,D,3,100,1,150,150,150,1,11,206742.66,1396.248239
lstcs,D,3,100,1,150,150,150,1,10,207728.22,3956.970828
lstcs,D,3,100,1,150,150,150,1,9,210994.28,17049.44081
lstcs,D,3,100,1,150,150,150,1,9,207226.12,1528.465121
lstcs,D,3,100,1,250,250,250,1,8,667951.82,2210.826458
lstcs,D,3,100,1,250,250,250,1,12,672695.52,16107.42217
lstcs,D,3,100,1,250,250,250,1,12,669735.02,2483.447962
lstcs,D,3,100,1,250,250,250,1,12,673418.24,21506.44072
lstcs,D,3,100,1,250,250,250,1,13,697187.8,121347.4345
lstcs,D,3,100,1,300,300,300,1,11,1172122.94,17381.00969
lstcs,D,3,100,1,300,300,300,1,14,1171936.94,15309.20773
lstcs,D,3,100,1,300,300,300,1,14,1189123.78,162289.2525
lstcs,D,3,100,1,300,300,300,1,14,1167513.62,17555.96636
lstcs,D,3,100,1,300,300,300,1,13,1179099.86,30596.29818
lstcs,D,3,100,1,200,200,200,1,7,386495.36,1582.006192
lstcs,D,3,100,1,200,200,200,1,10,390361.52,25344.68721
lstcs,D,3,100,1,200,200,200,1,10,386630.14,1880.547878
lstcs,D,3,100,1,200,200,200,1,10,386983.12,1514.225527
lstcs,D,3,100,1,200,200,200,1,10,390971.38,15979.42617
lstcs,D,3,100,1,100,100,100,1,2,54181.94,4392.426794
lstcs,D,3,100,1,100,100,100,1,5,53993.28,1827.736196
lstcs,D,3,100,1,100,100,100,1,5,54374.46,1768.745026
lstcs,D,3,100,1,100,100,100,1,4,54647.72,1721.467735
lstcs,D,3,100,1,100,100,100,1,5,54673.86,1675.617391
