algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcss,S,3,100,1,64,64,64,1,1,19550.32,1466.484469
lstcss,S,3,100,1,64,64,64,1,2,29145.4,27576.94586
lstcss,S,3,100,1,64,64,64,1,3,23631.48,8676.413165
lstcss,S,3,100,1,64,64,64,1,2,29797.22,28862.99293
lstcss,S,3,100,1,64,64,64,1,2,20216.84,1263.684096
lstcss,S,3,100,1,50,50,50,1,1,32095.2,10034.16228
lstcss,S,3,100,1,50,50,50,1,3,32897.58,3389.996992
lstcss,S,3,100,1,50,50,50,1,2,31339.46,1526.815814
lstcss,S,3,100,1,50,50,50,1,2,30107.46,1594.000065
lstcss,S,3,100,1,50,50,50,1,5,29591.48,3205.056282
lstcss,S,3,100,1,288,288,288,1,8,796268.8,16932.7725
lstcss,S,3,100,1,288,288,288,1,11,797075.78,14142.56701
lstcss,S,3,100,1,288,288,288,1,11,793783.48,4071.614227
lstcss,S,3,100,1,288,288,288,1,11,797533.4,26737.27151
lstcss,S,3,100,1,288,288,288,1,12,795333,19142.1746
lstcss,S,3,100,1,192,192,192,1,4,243525.42,995.0420512
lstcss,S,3,100,1,192,192,192,1,6,243934.58,1274.738814
lstcss,S,3,100,1,192,192,192,1,6,247065.44,13179.96825
lstcss,S,3,100,1,192,192,192,1,6,244209.66,1284.26981
lstcss,S,3,100,1,192,192,192,1,7,243897.14,953.2757001
lstcss,S,3,100,1,160,160,160,1,3,406128.68,23736.40748
lstcss,S,3,100,1,160,160,160,1,10,229303.96,73092.16047
lstcss,S,3,100,1,160,160,160,1,6,167134.26,2142.996284
lstcss,S,3,100,1,160,160,160,1,6,166871.92,2286.656212
lstcss,S,3,100,1,160,160,160,1,7,162794.44,2000.372857
lstcss,S,3,100,1,350,350,350,1,9,1453136.86,244703.2125
lstcss,S,3,100,1,350,350,350,1,16,1409688.52,26566.80996
lstcss,S,3,100,1,350,350,350,1,17,1407705.7,26075.83796
lstcss,S,3,100,1,350,350,350,1,16,1408215.04,26109.24603
lstcss,S,3,100,1,350,350,350,1,16,1413440.98,31962.12227
lstcss,S,3,100,1,96,96,96,1,2,117132.58,5703.086126
lstcss,S,3,100,1,96,96,96,1,7,113684.1,5052.701904
lstcss,S,3,100,1,96,96,96,1,5,98079.58,2423.171237
lstcss,S,3,100,1,96,96,96,1,4,92284.88,4244.879271
lstcss,S,3,100,1,96,96,96,1,4,72993.62,2745.412398
lstcss,S,3,100,1,128,128,128,1,2,82449.32,1927.907741
lstcss,S,3,100,1,128,128,128,1,4,124884.16,105564.4995
lstcss,S,3,100,1,128,128,128,1,5,83870.36,1687.658849
lstcss,S,3,100,1,128,128,128,1,5,83152.68,1717.536834
lstcss,S,3,100,1,128,128,128,1,5,83178.28,1938.460813
lstcss,S,3,100,1,150,150,150,1,3,135116.74,1674.617948
lstcss,S,3,100,1,150,150,150,1,4,137103.8,1362.454256
lstcss,S,3,100,1,150,150,150,1,5,137253.7,1110.720275
lstcss,S,3,100,1,150,150,150,1,6,137608.64,1096.830265
lstcss,S,3,100,1,150,150,150,1,5,138559.46,2016.838538
lstcss,S,3,100,1,250,250,250,1,7,546434.72,137376.6027
lstcss,S,3,100,1,250,250,250,1,8,530955.72,20607.70292
lstcss,S,3,100,1,250,250,250,1,9,526086.84,2401.888427
lstcss,S,3,100,1,250,250,250,1,9,563779.44,159193.6193
lstcss,S,3,100,1,250,250,250,1,8,531610.36,18904.12867
lstcss,S,3,100,1,300,300,300,1,8,1000827.28,2794.913079
lstcss,S,3,100,1,300,300,300,1,12,1004818,19558.81675
lstcss,S,3,100,1,300,300,300,1,12,1003449.7,19444.42405
lstcss,S,3,100,1,300,300,300,1,12,1030828.02,112555.4209
lstcss,S,3,100,1,300,300,300,1,12,1004025.12,17654.42144
lstcss,S,3,100,1,200,200,200,1,5,300932.34,4219.498039
lstcss,S,3,100,1,200,200,200,1,7,302411.12,11187.11297
lstcss,S,3,100,1,200,200,200,1,7,302031.18,7048.328672
lstcss,S,3,100,1,200,200,200,1,7,300868.36,1774.458912
lstcss,S,3,100,1,200,200,200,1,6,301110.44,1606.083088
lstcss,S,3,100,1,100,100,100,1,2,37175.26,1164.550794
lstcss,S,3,100,1,100,100,100,1,4,37379.5,1184.695324
lstcss,S,3,100,1,100,100,100,1,4,42074.58,19849.51904
lstcss,S,3,100,1,100,100,100,1,4,37608.22,1913.415839
lstcss,S,3,100,1,100,100,100,1,4,37430.82,1433.748914
lstcss,S,3,100,1,256,256,256,1,8,608433.6,163112.3007
lstcss,S,3,100,1,256,256,256,1,8,585359.02,24592.08266
lstcss,S,3,100,1,256,256,256,1,8,579085.68,1815.177065
