algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpani,S,3,100,1,64,64,64,"1,12,12",1,48,18870.76,1280.790999
lstmfpani,S,3,100,1,64,64,64,"1,12,12",1,56,18893.64,1229.205626
lstmfpani,S,3,100,1,64,64,64,"1,12,12",1,55,18898.94,1215.881021
lstmfpani,S,3,100,1,64,64,64,"1,12,12",1,56,18917.94,1223.095588
lstmfpani,S,3,100,1,64,64,64,"1,12,12",1,55,18854.04,1205.342075
lstmfpani,S,3,100,1,50,50,50,"1,12,12",1,51,16382.44,22639.3294
lstmfpani,S,3,100,1,50,50,50,"1,12,12",1,52,13262.1,1081.510781
lstmfpani,S,3,100,1,50,50,50,"1,12,12",1,51,13179.26,1006.057291
lstmfpani,S,3,100,1,50,50,50,"1,12,12",1,54,13290.48,1080.287836
lstmfpani,S,3,100,1,50,50,50,"1,12,12",1,51,13237.4,1089.689148
lstmfpani,S,3,100,1,288,288,288,"1,12,12",1,72,499384.78,208064.0431
lstmfpani,S,3,100,1,288,288,288,"1,12,12",1,89,505401.32,202983.6926
lstmfpani,S,3,100,1,288,288,288,"1,12,12",1,63,472643.96,1939.635326
lstmfpani,S,3,100,1,288,288,288,"1,12,12",1,91,499125.96,157830.3123
lstmfpani,S,3,100,1,288,288,288,"1,12,12",1,61,473294.16,2504.944058
lstmfpani,S,3,100,1,192,192,192,"1,12,12",1,47,187656.64,219394.2125
lstmfpani,S,3,100,1,192,192,192,"1,12,12",1,54,157060.7,1882.817625
lstmfpani,S,3,100,1,192,192,192,"1,12,12",1,56,157768.98,1645.932568
lstmfpani,S,3,100,1,192,192,192,"1,12,12",1,53,161250.26,13865.75782
lstmfpani,S,3,100,1,192,192,192,"1,12,12",1,56,157795.1,1920.865308
lstmfpani,S,3,100,1,160,160,160,"1,12,12",1,49,116915.64,14514.29412
lstmfpani,S,3,100,1,160,160,160,"1,12,12",1,58,114236.32,5864.10351
lstmfpani,S,3,100,1,160,160,160,"1,12,12",1,58,114281.82,1469.999247
lstmfpani,S,3,100,1,160,160,160,"1,12,12",1,57,113338.2,1134.611158
lstmfpani,S,3,100,1,160,160,160,"1,12,12",1,55,113627.7,1496.565872
lstmfpani,S,3,100,1,350,350,350,"1,12,12",1,59,859607.66,27101.04435
lstmfpani,S,3,100,1,350,350,350,"1,12,12",1,101,859287.42,18667.44956
lstmfpani,S,3,100,1,350,350,350,"1,12,12",1,70,855362.16,18993.03053
lstmfpani,S,3,100,1,350,350,350,"1,12,12",1,60,899884.08,236804.341
lstmfpani,S,3,100,1,350,350,350,"1,12,12",1,75,858695,14564.32954
lstmfpani,S,3,100,1,96,96,96,"1,12,12",1,47,40639.22,45085.33565
lstmfpani,S,3,100,1,96,96,96,"1,12,12",1,59,33975.8,1470.434915
lstmfpani,S,3,100,1,96,96,96,"1,12,12",1,60,34271.44,1518.844036
lstmfpani,S,3,100,1,96,96,96,"1,12,12",1,58,34048.16,1482.459677
lstmfpani,S,3,100,1,96,96,96,"1,12,12",1,57,34315.56,1524.818011
lstmfpani,S,3,100,1,128,128,128,"1,12,12",1,47,100222.72,246675.0451
lstmfpani,S,3,100,1,128,128,128,"1,12,12",1,72,99851.02,235450.2879
lstmfpani,S,3,100,1,128,128,128,"1,12,12",1,52,66263.98,1442.670614
lstmfpani,S,3,100,1,128,128,128,"1,12,12",1,52,66325.86,1436.917367
lstmfpani,S,3,100,1,128,128,128,"1,12,12",1,52,66321.5,1401.895634
lstmfpani,S,3,100,1,150,150,150,"1,12,12",1,51,99468.36,24327.38619
lstmfpani,S,3,100,1,150,150,150,"1,12,12",1,71,95789.98,1668.469256
lstmfpani,S,3,100,1,150,150,150,"1,12,12",1,69,96414.32,1718.742359
lstmfpani,S,3,100,1,150,150,150,"1,12,12",1,69,95998.52,1618.878318
lstmfpani,S,3,100,1,150,150,150,"1,12,12",1,71,96528.24,1535.986934
lstmfpani,S,3,100,1,250,250,250,"1,12,12",1,54,341278.56,17638.59968
lstmfpani,S,3,100,1,250,250,250,"1,12,12",1,57,337472.78,1580.893764
lstmfpani,S,3,100,1,250,250,250,"1,12,12",1,58,337712.78,1345.276481
lstmfpani,S,3,100,1,250,250,250,"1,12,12",1,81,342546.56,18442.30213
lstmfpani,S,3,100,1,250,250,250,"1,12,12",1,86,337408.02,2357.882342
lstmfpani,S,3,100,1,300,300,300,"1,12,12",1,52,539322.88,18061.88192
lstmfpani,S,3,100,1,300,300,300,"1,12,12",1,90,535639.34,2544.873212
lstmfpani,S,3,100,1,300,300,300,"1,12,12",1,73,535919.74,2289.681243
lstmfpani,S,3,100,1,300,300,300,"1,12,12",1,83,542010.48,18596.87921
lstmfpani,S,3,100,1,300,300,300,"1,12,12",1,67,537344.2,1788.859402
lstmfpani,S,3,100,1,200,200,200,"1,12,12",1,51,192004.66,20829.45323
lstmfpani,S,3,100,1,200,200,200,"1,12,12",1,58,193674.68,15153.811
lstmfpani,S,3,100,1,200,200,200,"1,12,12",1,83,190129.06,2289.743535
