algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpai,S,3,100,1,64,64,64,"1,12,12",1,43,36093.68,23151.94821
lstmfpai,S,3,100,1,64,64,64,"1,12,12",1,74,32835.78,1544.591548
lstmfpai,S,3,100,1,64,64,64,"1,12,12",1,58,32985.7,1509.807951
lstmfpai,S,3,100,1,64,64,64,"1,12,12",1,63,33487.72,1532.805494
lstmfpai,S,3,100,1,64,64,64,"1,12,12",1,63,33951.82,1529.380903
lstmfpai,S,3,100,1,50,50,50,"1,12,12",1,52,26306.82,23618.76417
lstmfpai,S,3,100,1,50,50,50,"1,12,12",1,93,22916.06,1356.73233
lstmfpai,S,3,100,1,50,50,50,"1,12,12",1,124,22776.96,1377.068625
lstmfpai,S,3,100,1,50,50,50,"1,12,12",1,113,22136.1,1377.592425
lstmfpai,S,3,100,1,50,50,50,"1,12,12",1,123,22044.22,1334.268358
lstmfpai,S,3,100,1,288,288,288,"1,12,12",1,55,770284.28,352564.9412
lstmfpai,S,3,100,1,288,288,288,"1,12,12",1,78,714384.54,16853.63098
lstmfpai,S,3,100,1,288,288,288,"1,12,12",1,68,711761.36,2023.838331
lstmfpai,S,3,100,1,288,288,288,"1,12,12",1,81,716201.54,18901.51818
lstmfpai,S,3,100,1,288,288,288,"1,12,12",1,70,710993.42,1450.820845
lstmfpai,S,3,100,1,192,192,192,"1,12,12",1,88,249093.98,38502.95414
lstmfpai,S,3,100,1,192,192,192,"1,12,12",1,87,252941.46,21097.60961
lstmfpai,S,3,100,1,192,192,192,"1,12,12",1,66,246653.5,1380.616359
lstmfpai,S,3,100,1,192,192,192,"1,12,12",1,80,245484.1,894.0049944
lstmfpai,S,3,100,1,192,192,192,"1,12,12",1,63,244904.06,818.1342288
lstmfpai,S,3,100,1,160,160,160,"1,12,12",1,49,184196.64,2150.135091
lstmfpai,S,3,100,1,160,160,160,"1,12,12",1,64,182293.92,1678.889012
lstmfpai,S,3,100,1,160,160,160,"1,12,12",1,63,181716.08,1626.332658
lstmfpai,S,3,100,1,160,160,160,"1,12,12",1,65,186719.82,14590.76567
lstmfpai,S,3,100,1,160,160,160,"1,12,12",1,59,183795.58,2542.169271
lstmfpai,S,3,100,1,350,350,350,"1,12,12",1,77,1316112.9,26405.11734
lstmfpai,S,3,100,1,350,350,350,"1,12,12",1,107,1368741.64,274804.1626
lstmfpai,S,3,100,1,350,350,350,"1,12,12",1,102,1334695.62,18472.31501
lstmfpai,S,3,100,1,350,350,350,"1,12,12",1,77,1331566.1,17024.39433
lstmfpai,S,3,100,1,350,350,350,"1,12,12",1,85,1327518.84,19099.62291
lstmfpai,S,3,100,1,96,96,96,"1,12,12",1,156,69422.2,142528.5052
lstmfpai,S,3,100,1,96,96,96,"1,12,12",1,580,49430.56,1163.233204
lstmfpai,S,3,100,1,96,96,96,"1,12,12",1,78,49211.2,1359.17706
lstmfpai,S,3,100,1,96,96,96,"1,12,12",1,66,49409.78,1439.327236
lstmfpai,S,3,100,1,96,96,96,"1,12,12",1,64,49311.82,1511.890627
lstmfpai,S,3,100,1,128,128,128,"1,12,12",1,51,113944.52,41197.49818
lstmfpai,S,3,100,1,128,128,128,"1,12,12",1,62,109112.5,1319.013484
lstmfpai,S,3,100,1,128,128,128,"1,12,12",1,125,108947.68,1062.854373
lstmfpai,S,3,100,1,128,128,128,"1,12,12",1,92,108674.64,1173.119291
lstmfpai,S,3,100,1,128,128,128,"1,12,12",1,59,109053.34,977.7920354
lstmfpai,S,3,100,1,150,150,150,"1,12,12",1,48,162090.22,14584.78918
lstmfpai,S,3,100,1,150,150,150,"1,12,12",1,60,158146.82,1673.608923
lstmfpai,S,3,100,1,150,150,150,"1,12,12",1,59,158383.88,1825.025914
lstmfpai,S,3,100,1,150,150,150,"1,12,12",1,75,158055.44,1513.726569
lstmfpai,S,3,100,1,150,150,150,"1,12,12",1,96,157215,1644.121455
lstmfpai,S,3,100,1,250,250,250,"1,12,12",1,242,558478.38,209716.8546
lstmfpai,S,3,100,1,250,250,250,"1,12,12",1,108,531240.24,50221.63692
lstmfpai,S,3,100,1,250,250,250,"1,12,12",1,92,528614.66,21212.18497
lstmfpai,S,3,100,1,250,250,250,"1,12,12",1,71,524981.66,2122.547551
lstmfpai,S,3,100,1,250,250,250,"1,12,12",1,91,525059.06,7097.35235
lstmfpai,S,3,100,1,300,300,300,"1,12,12",1,59,833159.02,19132.43753
lstmfpai,S,3,100,1,300,300,300,"1,12,12",1,75,829073.64,2370.094165
lstmfpai,S,3,100,1,300,300,300,"1,12,12",1,69,835480.4,18477.93621
lstmfpai,S,3,100,1,300,300,300,"1,12,12",1,69,836709.74,19018.68328
lstmfpai,S,3,100,1,300,300,300,"1,12,12",1,72,888925.1,341820.4566
lstmfpai,S,3,100,1,200,200,200,"1,12,12",1,68,306555.92,43401.01834
lstmfpai,S,3,100,1,200,200,200,"1,12,12",1,80,305419.24,13029.01642
lstmfpai,S,3,100,1,200,200,200,"1,12,12",1,63,301159.9,1984.880281
lstmfpai,S,3,100,1,200,200,200,"1,12,12",1,59,300075.7,1692.002202
lstmfpai,S,3,100,1,200,200,200,"1,12,12",1,58,300298.06,1684.160745
lstmfpai,S,3,100,1,100,100,100,"1,12,12",1,47,65046.92,1784.753326
lstmfpai,S,3,100,1,100,100,100,"1,12,12",1,64,67086.56,5575.27787
lstmfpai,S,3,100,1,100,100,100,"1,12,12",1,59,67131.7,1600.203415
lstmfpai,S,3,100,1,100,100,100,"1,12,12",1,58,67145.06,1651.129231
lstmfpai,S,3,100,1,100,100,100,"1,12,12",1,64,66789.84,1627.918061
lstmfpai,S,3,100,1,256,256,256,"1,12,12",1,69,562716.78,22133.30132
lstmfpai,S,3,100,1,256,256,256,"1,12,12",1,72,620783.6,345132.9756
lstmfpai,S,3,100,1,256,256,256,"1,12,12",1,123,561880.76,2137.976722
lstmfpai,S,3,100,1,256,256,256,"1,12,12",1,73,563958.62,2269.466562
lstmfpai,S,3,100,1,256,256,256,"1,12,12",1,64,566791.96,15156.16058
lstmfpai,S,3,100,1,400,400,400,"1,12,12",1,72,1908833.62,33430.57029
lstmfpai,S,3,100,1,400,400,400,"1,12,12",1,112,1931705.46,310855.9403
lstmfpai,S,3,100,1,400,400,400,"1,12,12",1,84,1886645.2,42110.096
lstmfpai,S,3,100,1,400,400,400,"1,12,12",1,94,1882450.78,26527.27829
lstmfpai,S,3,100,1,400,400,400,"1,12,12",1,84,1883910.8,20562.20435
lstmfpai,S,3,100,1,224,224,224,"1,12,12",1,58,409556.22,12302.95916
lstmfpai,S,3,100,1,224,224,224,"1,12,12",1,18791,407052.84,3898.270654
lstmfpai,S,3,100,1,224,224,224,"1,12,12",1,61,405636.26,1708.297583
lstmfpai,S,3,100,1,224,224,224,"1,12,12",1,63,466652.12,262804.9408
lstmfpai,S,3,100,1,224,224,224,"1,12,12",1,68,406366.82,2285.35576
lstmfpai,S,3,100,1,64,64,64,"1,3,48",1,170,121414.26,405810.2134
