algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,S,3,100,1,64,64,64,1,189,23099.68,1738.098667
lstmfppai,S,3,100,1,64,64,64,1,179,22492.48,1278.373392
lstmfppai,S,3,100,1,64,64,64,1,176,23264.28,1258.173534
lstmfppai,S,3,100,1,64,64,64,1,178,22652.4,1330.547271
lstmfppai,S,3,100,1,64,64,64,1,156,20120.7,1480.092609
lstmfppai,S,3,100,1,50,50,50,1,182,18836.2,2438.494593
lstmfppai,S,3,100,1,50,50,50,1,190,18264.18,1109.346613
lstmfppai,S,3,100,1,50,50,50,1,180,18137.22,1214.214286
lstmfppai,S,3,100,1,50,50,50,1,200,18128.44,1194.598747
lstmfppai,S,3,100,1,50,50,50,1,180,17224.54,1119.419907
lstmfppai,S,3,100,1,288,288,288,1,45,187422.16,1676.319819
lstmfppai,S,3,100,1,288,288,288,1,49,188098.44,1935.493582
lstmfppai,S,3,100,1,288,288,288,1,47,191438.38,13504.90398
lstmfppai,S,3,100,1,288,288,288,1,48,189110.7,2060.042419
lstmfppai,S,3,100,1,288,288,288,1,48,188157.2,1555.827625
lstmfppai,S,3,100,1,192,192,192,1,167,187589.76,14528.6859
lstmfppai,S,3,100,1,192,192,192,1,3265,170057.14,10507.94778
lstmfppai,S,3,100,1,192,192,192,1,62,103044.96,25113.57927
lstmfppai,S,3,100,1,192,192,192,1,64,87702.46,1727.855737
lstmfppai,S,3,100,1,192,192,192,1,48,88286.68,2077.92802
lstmfppai,S,3,100,1,160,160,160,1,9525,177453.72,31407.46036
lstmfppai,S,3,100,1,160,160,160,1,123,131892.94,17828.64118
lstmfppai,S,3,100,1,160,160,160,1,106,107921.38,5025.919541
lstmfppai,S,3,100,1,160,160,160,1,77,109648.72,2369.705113
lstmfppai,S,3,100,1,160,160,160,1,64,69070.88,17010.90586
lstmfppai,S,3,100,1,350,350,350,1,60,410770.2,17438.29243
lstmfppai,S,3,100,1,350,350,350,1,55,406789.64,1879.925539
lstmfppai,S,3,100,1,350,350,350,1,51,402860.78,1677.544304
lstmfppai,S,3,100,1,350,350,350,1,59,405015.7,25308.11179
lstmfppai,S,3,100,1,350,350,350,1,54,429005.84,79539.85154
lstmfppai,S,3,100,1,96,96,96,1,232,51862.8,2648.64844
lstmfppai,S,3,100,1,96,96,96,1,179,42429.28,2766.547011
lstmfppai,S,3,100,1,96,96,96,1,159,39688.3,1566.571738
lstmfppai,S,3,100,1,96,96,96,1,145,38416.52,1773.537248
lstmfppai,S,3,100,1,96,96,96,1,133,34150.98,2833.203011
lstmfppai,S,3,100,1,128,128,128,1,41,25828.32,5802.551089
lstmfppai,S,3,100,1,128,128,128,1,43,23559.4,1235.324557
lstmfppai,S,3,100,1,128,128,128,1,42,24079.82,1730.897995
lstmfppai,S,3,100,1,128,128,128,1,44,23725,1125.646374
lstmfppai,S,3,100,1,128,128,128,1,42,23878.06,1149.511068
lstmfppai,S,3,100,1,150,150,150,1,201,122315.4,21087.36963
lstmfppai,S,3,100,1,150,150,150,1,135,97152.12,2863.491188
lstmfppai,S,3,100,1,150,150,150,1,128,93460.94,5242.337484
lstmfppai,S,3,100,1,150,150,150,1,83,78932,11425.74012
lstmfppai,S,3,100,1,150,150,150,1,63,59709.42,1634.211958
lstmfppai,S,3,100,1,250,250,250,1,178,251214.8,156664.3266
lstmfppai,S,3,100,1,250,250,250,1,61,146488.48,2008.80747
lstmfppai,S,3,100,1,250,250,250,1,54,146149.78,1529.790852
lstmfppai,S,3,100,1,250,250,250,1,53,146222.9,1391.071634
lstmfppai,S,3,100,1,250,250,250,1,62,146843.7,1464.58363
lstmfppai,S,3,100,1,300,300,300,1,45,270535.36,1333.176519
lstmfppai,S,3,100,1,300,300,300,1,53,274547.14,13500.12231
lstmfppai,S,3,100,1,300,300,300,1,60,274898.34,10513.48143
lstmfppai,S,3,100,1,300,300,300,1,67,272625.72,1813.964013
lstmfppai,S,3,100,1,300,300,300,1,59,273119.48,1996.781963
lstmfppai,S,3,100,1,200,200,200,1,9253,196211.68,17738.87655
lstmfppai,S,3,100,1,200,200,200,1,8331,141962.32,39704.34805
lstmfppai,S,3,100,1,200,200,200,1,72,94175.84,1772.447273
lstmfppai,S,3,100,1,200,200,200,1,61,94133.46,1846.132782
lstmfppai,S,3,100,1,200,200,200,1,47,94884.38,4623.471643
lstmfppai,S,3,100,1,100,100,100,1,43,14600.6,1104.955474
lstmfppai,S,3,100,1,100,100,100,1,44,14903.1,1160.34204
lstmfppai,S,3,100,1,100,100,100,1,60,14761.96,1101.984754
lstmfppai,S,3,100,1,100,100,100,1,55,14825.18,1092.078288
lstmfppai,S,3,100,1,100,100,100,1,42,14861.12,1075.627829
lstmfppai,S,3,100,1,256,256,256,1,262,214235.84,126344.251
lstmfppai,S,3,100,1,256,256,256,1,53,152479.9,1638.769041
lstmfppai,S,3,100,1,256,256,256,1,58,153330.16,1731.773627
lstmfppai,S,3,100,1,256,256,256,1,56,155186.28,10704.80975
lstmfppai,S,3,100,1,256,256,256,1,56,155202.92,6211.53049
lstmfppai,S,3,100,1,400,400,400,1,65,571387.08,3101.593125
lstmfppai,S,3,100,1,400,400,400,1,60,587022.06,21300.47382
lstmfppai,S,3,100,1,400,400,400,1,65,582666.42,2346.799268
lstmfppai,S,3,100,1,400,400,400,1,74,587850.22,22235.87936
lstmfppai,S,3,100,1,400,400,400,1,69,582388.04,1863.411742
lstmfppai,S,3,100,1,224,224,224,1,59,123726.56,19444.68686
lstmfppai,S,3,100,1,224,224,224,1,58,117470.76,1026.015527
lstmfppai,S,3,100,1,224,224,224,1,55,118125.74,1667.087842
lstmfppai,S,3,100,1,224,224,224,1,49,118062.62,1206.396948
lstmfppai,S,3,100,1,224,224,224,1,47,118257,1654.80678
lstmfppai,D,3,100,1,64,64,64,1,55,17721.9,1236.179975
lstmfppai,D,3,100,1,64,64,64,1,49,11896.52,2509.653508
lstmfppai,D,3,100,1,64,64,64,1,47,10729.86,912.4380748
lstmfppai,D,3,100,1,64,64,64,1,47,10843.54,998.5993633
lstmfppai,D,3,100,1,64,64,64,1,47,10884.84,1023.950865
lstmfppai,D,3,100,1,50,50,50,1,40,6809.72,777.9323374
lstmfppai,D,3,100,1,50,50,50,1,42,6849.9,778.7284572
