algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstmdtfai,S,3,100,1,64,64,64,1,10000,2,6498.04,813.3874836
lstmdtfai,S,3,100,1,64,64,64,1,10000,4,6329.46,48.25441327
lstmdtfai,S,3,100,1,64,64,64,1,10000,5,6380.04,75.79761474
lstmdtfai,S,3,100,1,64,64,64,1,10000,4,6355,50.60671892
lstmdtfai,S,3,100,1,64,64,64,1,10000,2,6346.9,57.76339671
lstmdtfai,S,3,100,1,500,500,500,1,10000,12,2461400.64,947811.6558
lstmdtfai,S,3,100,1,500,500,500,1,10000,17,1956505.62,465475.4571
lstmdtfai,S,3,100,1,500,500,500,1,10000,17,2725487.14,666825.5306
lstmdtfai,S,3,100,1,500,500,500,1,10000,18,3108070.74,588315.9743
lstmdtfai,S,3,100,1,500,500,500,1,10000,14,3205987.06,426757.4052
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,70,8911142.16,3365653.115
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,47,16856637.76,7750897.791
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,39,15120320.12,8245949.086
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,33,12970540.8,6513192.458
lstmdtfai,S,3,100,1,1000,1000,1000,1,10000,36,16172281.92,2803424.867
lstmdtfai,S,3,100,1,50,50,50,1,10000,1,3697.96,493.711007
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,3626.16,25.14626016
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,3616.16,31.30582055
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,3597.22,31.14179828
lstmdtfai,S,3,100,1,50,50,50,1,10000,2,3647.3,44.23946202
lstmdtfai,S,3,100,1,288,288,288,1,10000,7,525936.96,3783.816814
lstmdtfai,S,3,100,1,288,288,288,1,10000,15,530152.38,5972.903059
lstmdtfai,S,3,100,1,288,288,288,1,10000,9,528730.06,1588.639171
lstmdtfai,S,3,100,1,288,288,288,1,10000,8,527931.1,8108.843657
lstmdtfai,S,3,100,1,288,288,288,1,10000,14,227048.94,129160.0115
lstmdtfai,S,3,100,1,192,192,192,1,10000,5,109688.84,2674.515533
lstmdtfai,S,3,100,1,192,192,192,1,10000,8,111074.64,331.1914105
lstmdtfai,S,3,100,1,192,192,192,1,10000,7,111443.14,500.410312
lstmdtfai,S,3,100,1,192,192,192,1,10000,7,111670.66,355.1535223
lstmdtfai,S,3,100,1,192,192,192,1,10000,6,111706.9,261.4850856
lstmdtfai,S,3,100,1,160,160,160,1,10000,4,82697.96,1032.436593
lstmdtfai,S,3,100,1,160,160,160,1,10000,10,82921,559.1941702
lstmdtfai,S,3,100,1,160,160,160,1,10000,8,83723.26,530.4133788
lstmdtfai,S,3,100,1,160,160,160,1,10000,7,86040.44,3335.031059
lstmdtfai,S,3,100,1,160,160,160,1,10000,6,83895.04,264.6346886
lstmdtfai,S,3,100,1,350,350,350,1,10000,9,921062.72,9787.685686
lstmdtfai,S,3,100,1,350,350,350,1,10000,13,915609.54,2777.235771
lstmdtfai,S,3,100,1,350,350,350,1,10000,11,563601.24,291627.2124
lstmdtfai,S,3,100,1,350,350,350,1,10000,16,914921.12,2322.411821
lstmdtfai,S,3,100,1,350,350,350,1,10000,13,917113.32,1697.389495
lstmdtfai,S,3,100,1,96,96,96,1,10000,3,11759.64,2240.640924
lstmdtfai,S,3,100,1,96,96,96,1,10000,4,11232.7,98.71458859
lstmdtfai,S,3,100,1,96,96,96,1,10000,4,11328.14,209.2448336
